Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31
"Selling, General & Admin",0.25,0.25,0.16,0
Other Operating Expenses,0.03,0.02,0,0
Operating Expenses,0.28,0.27,0.16,0
Operating Income,-0.28,-0.27,-0.16,-0
Other Expense / Income,-0.75,-0.42,-,-
Pretax Income,0.47,0.14,-0.16,-0
Income Tax,0.23,0,0,0
Net Income,0.23,0.14,-0.16,-0
Shares Outstanding (Basic),7,11,3,2
Shares Outstanding (Diluted),7,11,3,2
EPS (Basic),-1.18,-0.02,-2.97,-
EPS (Diluted),-1.18,-0.02,-2.97,-
Free Cash Flow Per Share,-0.02,-0.04,-0.08,-
Effective Tax Rate,50.12%,-,-,-
EBITDA,0.47,0.14,-0.16,-0
EBIT,0.47,0.14,-0.16,-0
