Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31
Revenue,33.9,34.02,32.86,28.53,26.32,28.15,27.32,27.51,27.55,24.94,26.69,25.41,21.57,20.87,20.46,17.61,18.12,17.29,17.24,17.9,19.24,16.57,12.62,37.13
Revenue Growth (YoY),28.78%,20.84%,20.30%,3.71%,-4.44%,12.89%,2.34%,8.27%,27.73%,19.51%,30.46%,44.29%,19.04%,20.72%,18.64%,-1.60%,-5.85%,4.33%,36.61%,-51.81%,-,-,-,-
Gross Profit,33.9,34.02,32.86,28.53,26.32,28.15,27.32,27.51,27.55,24.94,26.69,25.41,21.57,20.87,20.46,17.61,18.12,17.29,17.24,17.9,19.24,16.57,12.62,37.13
"Selling, General & Admin",13.83,12.39,13.84,9.85,9.91,9.85,9.58,9.63,9.94,10.74,9.5,9.21,9.15,8.73,8.69,7.44,7.27,7.46,7.05,7.12,7.83,7.69,5.35,11.73
Other Operating Expenses,5.76,4.86,5.05,3.37,2.82,3.59,2.89,2.66,2.42,1.84,2.7,3.91,3.59,2.45,3.39,2.52,2.27,2.43,2.68,2.9,2.16,2.7,1.63,-0.41
Operating Expenses,19.59,17.25,18.9,13.22,12.73,13.43,12.47,12.29,12.36,12.58,12.2,13.12,12.74,11.18,12.09,9.96,9.54,9.89,9.73,10.02,9.98,10.4,6.97,11.32
Operating Income,14.31,16.76,13.96,15.31,13.59,14.72,14.85,15.22,15.19,12.36,14.49,12.3,8.82,9.68,8.37,7.66,8.58,7.39,7.52,7.88,9.26,6.17,5.65,25.81
Other Expense / Income,0.08,-,-,-,-,0,-,-,-,-3.23,-,1.32,-,-,-,-,-,-0.03,-0.02,0.05,-0,-0.01,-,0.23
Pretax Income,14.24,16.76,13.96,15.31,13.59,14.72,14.85,15.22,15.19,15.59,14.49,10.97,8.82,9.68,8.37,7.66,8.58,7.42,7.54,7.83,9.26,6.18,5.65,25.59
Income Tax,3.56,3.92,3.43,3.66,3.41,3.55,3.63,3.67,3.67,4.06,3.53,2.68,1.56,2.23,1.71,1.67,1.99,1.36,1.6,1.43,2.2,2.9,1.82,7.71
Net Income,10.68,12.84,10.53,11.65,10.18,11.16,11.22,11.55,11.51,11.53,10.95,8.3,7.27,7.46,6.66,5.99,6.59,6.06,5.93,6.4,7.06,3.28,3.83,17.88
Net Income Growth,4.88%,15.05%,-6.11%,0.92%,-11.56%,-3.17%,2.41%,39.20%,58.46%,54.58%,64.50%,38.52%,10.31%,23.07%,12.26%,-6.44%,-6.74%,84.90%,54.84%,-64.20%,-,-,-,-
Shares Outstanding (Basic),10,9,7,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7
Shares Change,38.19%,18.35%,-2.66%,-2.61%,-1.86%,-1.31%,-0.86%,7.98%,9.08%,9.11%,8.81%,8.80%,7.71%,6.62%,6.66%,-1.28%,-1.27%,-0.26%,-,-,-,-,-,-
EPS (Basic),1.09,1.43,1.26,1.55,1.34,1.47,1.46,1.50,1.49,1.50,1.42,1.11,1.03,1.05,0.95,0.91,1.00,0.91,0.89,0.96,1.05,0.49,0.62,-
EPS (Diluted),1.09,1.43,1.26,1.55,1.34,1.47,1.46,1.50,1.49,1.51,1.42,1.11,1.02,1.04,0.93,0.90,1.00,0.91,0.89,0.96,1.05,0.49,0.62,-
