Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-13
"Selling, General & Admin",0.7,0.87,0.96,0.74,-1.99,1.66,1.08,0.29,0
Operating Expenses,0.7,0.87,0.96,0.74,-1.99,1.66,1.08,0.29,0
Operating Income,-0.7,-0.87,-0.96,-0.74,1.99,-1.66,-1.08,-0.29,-0
Other Expense / Income,-1.95,-11.41,-0.54,-0.08,0.03,0.02,0.05,-0.02,-
Pretax Income,1.25,10.54,-0.42,-0.65,1.97,-1.68,-1.13,-0.27,-0
Income Tax,0.41,2.37,0.05,0,0,0,0,0,0
Net Income,0.85,8.17,-0.47,-0.65,1.97,-1.68,-1.13,-0.27,-0
Net Income Growth,-56.95%,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),31,33,33,33,28,33,33,12,5
Shares Outstanding (Diluted),31,33,33,33,28,33,33,12,5
Shares Change,10.40%,-,-,184.98%,460.84%,-,-,-,-
EPS (Basic),0.03,0.25,-0.01,-0.02,0.05,-0.05,-0.03,-0.02,-
EPS (Diluted),0.03,0.25,-0.01,-0.02,0.05,-0.05,-0.03,-0.02,-
EPS Growth,-40.00%,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.10,0.28,-0.01,-0.02,0.04,-0.01,-0.00,-0.05,-
Effective Tax Rate,32.44%,22.49%,-,-,-,-,-,-,-
EBITDA,1.25,10.54,-0.42,-0.65,1.97,-1.68,-1.13,-0.27,-0
EBIT,1.25,10.54,-0.42,-0.65,1.97,-1.68,-1.13,-0.27,-0
