Metrics,2022-12-31,2022-09-30,2022-06-30,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30
Revenue,"1,088.08",840.66,-,"1,020.94","1,231.99","1,125.04","1,099.96","1,160.85","1,022.76",754.69,"1,023.66","2,363.63","2,056.11","2,216.64","1,980.41","2,304.53","2,187.63","2,987.28","3,764.67","7,816.25","1,513.9","1,183.06","1,021.6","1,071.11",876.71,733.79,556.38,-,306.2
Revenue Growth (YoY),-11.68%,-25.28%,-,-12.05%,20.46%,49.07%,7.45%,-50.89%,-50.26%,-65.95%,-48.31%,2.56%,-6.01%,-25.80%,-47.39%,-70.52%,44.50%,152.51%,268.51%,629.73%,72.68%,61.23%,83.62%,-,186.32%,-,-,-,-
Cost of Revenue,211.59,223.62,-,216.75,186.92,182.67,174.53,596.93,239.66,165.18,102.92,173.94,156.07,162.95,172.12,227.1,262.05,307.52,264.61,971.96,119.04,93.15,58.78,56.67,47.51,42.54,36.75,-,18.85
Gross Profit,876.49,617.03,-,804.19,"1,045.08",942.37,925.44,563.93,783.11,589.51,920.74,"2,189.69","1,900.04","2,053.7","1,808.29","2,077.42","1,925.58","2,679.76","3,500.06","6,844.29","1,394.87","1,089.91",962.82,"1,014.44",829.2,691.26,519.63,-,287.35
"Selling, General & Admin",188.69,246.35,-,423.48,546.49,564.57,525.04,444.41,644.73,681.03,765.48,"1,100.33","1,328.46","1,384.18","1,385.65","1,178.82","1,817.45","2,320.18","2,678.05","8,025.39","1,016.81",716.49,569.88,536.4,611.96,428.58,314.94,-,176.5
Other Operating Expenses,55.75,35.07,0,51.91,83.58,93.43,141.23,690.36,25.02,168.71,143.39,588.34,344.74,500.86,191.1,628.57,272.89,275.71,235.01,43.05,0,0,0,81.26,0,0,0,0,0
Operating Expenses,244.43,281.43,-,475.39,630.07,658.01,666.27,"1,134.77",669.74,849.74,908.87,"1,688.68","1,673.2","1,885.04","1,576.76","1,807.39","2,090.34","2,595.89","2,913.07","8,068.44","1,016.81",716.49,569.88,617.67,611.96,428.58,314.94,-,176.5
Operating Income,632.05,335.61,-,328.8,415.01,284.36,259.17,-570.84,113.37,-260.24,11.88,501.01,226.84,168.65,231.53,270.04,-164.76,83.87,586.99,"-1,224.15",378.06,373.42,392.94,396.78,217.23,262.68,204.68,-,110.85
Interest Expense / Income,-3.44,0.38,-,18.06,21.57,22.78,10.98,-8.55,-11,-16.95,-25.12,-73.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
Other Expense / Income,-9.03,-5.11,-,-14.66,-3.41,6.24,22.6,50.66,28.18,36.47,13.84,89.48,-21.12,-47.66,-214.14,-748.37,-64.27,-152.81,-32.44,-210.48,-10.65,-26.04,-25.71,-13.72,4.9,-7.23,-5.03,-,-0.18
