Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",0.61,0.85,0.79,0.89,0.78,0.81,0,0,0
Operating Expenses,0.61,0.85,0.79,0.89,0.78,0.81,0,0,0
Operating Income,-0.61,-0.85,-0.79,-0.89,-0.78,-0.81,0,-0,-0
Other Expense / Income,-4.39,-3.45,-1.84,-0.55,-0.04,-0,-,-,-
Pretax Income,3.78,2.61,1.05,-0.34,-0.74,-0.8,0,-0,-0
Income Tax,0.91,0.71,0.37,0.1,0,0,0,0,0
Net Income,2.87,1.89,0.67,-0.44,-0.74,-0.8,0,-0,-0
Shares Outstanding (Basic),56,56,56,56,56,17,15,15,15
Shares Outstanding (Diluted),56,56,56,56,56,17,15,15,15
Shares Change,-,231.32%,270.30%,270.30%,270.30%,-,-,-,-
EPS (Basic),0.05,0.03,0.01,-0.01,-0.01,-0.05,-,-,-
EPS (Diluted),0.05,0.03,0.01,-0.01,-0.01,-0.05,-,-,-
Free Cash Flow Per Share,-0.01,-0.02,-0.01,-0.02,-0.01,-0.04,-,-,-
Effective Tax Rate,24.12%,27.42%,35.65%,-,-,-,-,-,-
EBITDA,3.78,2.61,1.05,-0.34,-0.74,-0.8,0,-0,-0
EBIT,3.78,2.61,1.05,-0.34,-0.74,-0.8,0,-0,-0
