Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.29,0.24,0.2,0.28,0.31,0.08,0
Other Operating Expenses,0.05,0.05,0.05,0.05,0.16,0.02,0
Operating Expenses,0.34,0.29,0.25,0.33,0.47,0.1,0
Operating Income,-0.34,-0.29,-0.25,-0.33,-0.47,-0.1,0
Other Expense / Income,-2.89,-1.13,-2.34,-2.1,-3.18,0.7,-
Pretax Income,2.55,0.84,2.09,1.77,2.71,-0.8,0
Income Tax,0.2,0.16,0,0,0,0,0
Net Income,2.35,0.68,2.09,1.77,2.71,-0.8,0
Net Income Growth,-13.23%,-,-,-,-,-,-
Shares Outstanding (Basic),19,19,19,19,19,19,4
Shares Outstanding (Diluted),19,19,19,19,19,19,4
Shares Change,-,-,400.00%,-,-,-,-
EPS (Basic),0.07,0.01,0.11,0.09,0.14,-0.79,-
EPS (Diluted),0.07,0.01,0.11,0.09,0.14,-0.79,-
EPS Growth,-50.00%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.02,-0.01,-0.04,-
Effective Tax Rate,7.91%,18.87%,-,-,-,-,-
EBITDA,2.55,0.84,2.09,1.77,2.71,-0.8,0
EBIT,2.55,0.84,2.09,1.77,2.71,-0.8,0
