Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.27,0.26,0.27,0.34,0.69,0,0
Operating Expenses,0.27,0.26,0.27,0.34,0.69,0,0
Operating Income,-0.27,-0.26,-0.27,-0.34,-0.69,-0,-0
Other Expense / Income,-2.43,-1.27,-0.4,-0.02,-0,-,-
Pretax Income,2.16,1.01,0.13,-0.31,-0.68,-0,-0
Income Tax,0.5,0.26,0.03,0,0,0,0
Net Income,1.66,0.75,0.1,-0.31,-0.68,-0,-0
Shares Outstanding (Basic),35,35,35,35,68,6,6
Shares Outstanding (Diluted),35,35,35,35,68,6,6
Shares Change,-49.26%,475.00%,475.00%,-,-,-,-
EPS (Basic),0.04,0.02,-,-0.01,-0.06,-,-
EPS (Diluted),0.04,0.02,-,-0.01,-0.06,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.02,-0.00,-0.01,-,-
Effective Tax Rate,23.20%,25.45%,22.45%,-,-,-,-
EBITDA,2.16,1.01,0.13,-0.31,-0.68,-0,-
EBIT,2.16,1.01,0.13,-0.31,-0.68,-0,-0
