Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
"Selling, General & Admin",-4.07,0.95,0.41,0.1,-0.01
Operating Expenses,-4.07,0.95,0.41,0.1,-0.01
Operating Income,4.07,-0.95,-0.41,-0.1,0.01
Other Expense / Income,3.34,-1.06,-0.28,-0.01,0.02
Pretax Income,0.74,0.11,-0.13,-0.08,-0.01
Net Income,0.74,0.11,-0.13,-0.08,-0.01
Shares Outstanding (Basic),28,28,6,5,3
Shares Outstanding (Diluted),28,28,6,5,-
Shares Change,689.07%,-,-,-,-
EPS (Basic),0.03,-,-,-0.01,-
EPS (Diluted),0.03,-,-,-0.01,-
Free Cash Flow Per Share,-0.01,-0.00,0.01,-0.19,0.00
EBITDA,0.74,0.11,-0.13,-0.08,-0.01
EBIT,0.74,0.11,-0.13,-0.08,-0.01
