Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.29,0.28,0.27,0.31,0.31,0.32,0.19,0
Operating Expenses,0.29,0.28,0.27,0.31,0.31,0.32,0.19,0
Operating Income,-0.29,-0.28,-0.27,-0.31,-0.31,-0.32,-0.19,0
Other Expense / Income,-3.68,-3.79,-1.41,-5.93,-5.33,0.78,-4.83,-
Pretax Income,3.38,3.51,1.14,5.63,5.03,-1.1,4.64,0
Income Tax,0.62,0.49,0.26,0.04,0,0,0,0
Net Income,2.76,3.02,0.88,5.59,5.03,-1.1,4.64,0
Net Income Growth,-45.10%,-,-80.96%,-,-,-,-,-
Shares Outstanding (Basic),35,35,35,35,35,17,15,7
Shares Outstanding (Diluted),35,35,35,35,35,17,15,7
Shares Change,-,105.13%,135.17%,387.13%,-,-,-,-
EPS (Basic),0.08,0.08,0.03,0.16,0.14,-0.24,0.31,-
EPS (Diluted),0.08,0.08,0.03,0.16,0.14,-0.24,0.31,-
EPS Growth,-42.86%,-,-90.32%,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.02,-0.00,-0.01,-0.01,0.05,-0.12,-
Effective Tax Rate,18.37%,13.88%,22.40%,0.69%,-,-,-,-
EBITDA,3.38,3.51,1.14,5.63,5.03,-1.1,4.64,0
EBIT,3.38,3.51,1.14,5.63,5.03,-1.1,4.64,0
