Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31
Revenue,2.05,2.29,2.21,2.29,2.02,2.23,2.04,2.03,1.97,1.85,1.78,1.83,1.79,1.92,1.97,1.98,1.99,2.19,1.92,1.78,1.69,2.11,1.68,1.65,1.97
Revenue Growth (YoY),1.68%,2.74%,8.33%,12.84%,2.49%,20.23%,14.67%,11.09%,10.31%,-3.49%,-9.65%,-7.76%,-10.39%,-12.32%,2.45%,11.34%,17.73%,3.94%,14.61%,8.07%,-14.24%,-,-,-,-
Gross Profit,2.05,2.29,2.21,2.29,2.02,2.23,2.04,2.03,1.97,1.85,1.78,1.83,1.79,1.92,1.97,1.98,1.99,2.19,1.92,1.78,1.69,2.11,1.68,1.65,1.97
"Selling, General & Admin",1.38,1.55,1.3,1.33,1.19,1.55,1.21,1.28,1.22,1.31,1.16,1.12,1.05,1.35,1.35,1.26,1.2,1.25,1.18,1.11,1.02,1.13,1.03,0.97,0.96
Other Operating Expenses,0.37,0.33,0.37,0.42,0.33,0.3,0.34,0.35,0.35,0.39,0.33,0.34,0.3,0.38,0.43,0.38,0.36,0.33,0.38,0.31,0.27,0.28,0.3,0.29,0.29
Operating Expenses,1.75,1.88,1.67,1.74,1.52,1.84,1.55,1.63,1.57,1.69,1.49,1.46,1.35,1.72,1.78,1.65,1.56,1.57,1.56,1.42,1.29,1.41,1.33,1.26,1.26
Operating Income,0.3,0.42,0.54,0.55,0.5,0.39,0.49,0.4,0.4,0.16,0.29,0.38,0.44,0.2,0.19,0.34,0.43,0.62,0.37,0.36,0.4,0.7,0.35,0.39,0.72
Other Expense / Income,-,0.04,-,-,-,-,-,-,-,-,0.04,-,-,-,0.1,-,-,-0,0.03,-,-,-,-,-,-
Pretax Income,0.3,0.38,0.54,0.55,0.5,0.39,0.49,0.4,0.4,0.16,0.25,0.38,0.44,0.2,0.08,0.34,0.43,0.62,0.33,0.36,0.4,0.7,0.35,0.39,0.72
Income Tax,-0.04,0,0.03,0.02,0.03,0.01,0.03,0.01,0.02,-0.04,-0.01,0.03,0.05,0,-0.02,0.04,0.07,0.1,0.06,0.06,0.08,0.5,0.11,0.12,0.25
Net Income,0.34,0.38,0.51,0.53,0.47,0.38,0.46,0.4,0.38,0.2,0.26,0.34,0.39,0.2,0.11,0.3,0.36,0.52,0.28,0.3,0.32,0.2,0.24,0.27,0.47
Net Income Growth,-27.19%,-0.27%,12.28%,32.49%,23.54%,88.50%,72.73%,16.08%,-1.82%,2.04%,151.43%,15.15%,6.35%,-62.31%,-61.96%,0.34%,12.77%,163.96%,14.52%,10.45%,-31.26%,-,-,-,-
Shares Outstanding (Basic),3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,-,-,-
Shares Change,-4.14%,-4.90%,-5.24%,-9.28%,-5.15%,-4.96%,-8.98%,-9.25%,-10.60%,-10.12%,-6.64%,-1.94%,-0.46%,-1.07%,-0.16%,-0.16%,-0.16%,-0.01%,-,-,-,-,-,-,-
EPS (Basic),0.13,0.14,0.19,0.19,0.17,0.13,0.16,0.13,0.13,0.07,0.09,0.10,0.12,0.06,0.03,0.09,0.11,0.15,0.08,0.09,0.09,0.06,0.07,0.18,0.14
EPS (Diluted),0.13,0.14,0.19,0.19,0.17,0.13,0.16,0.13,0.13,0.07,0.09,0.10,0.12,0.06,0.03,0.09,0.11,0.15,0.08,0.09,0.09,0.06,0.07,0.18,0.14
EPS Growth,-23.53%,7.69%,18.75%,46.15%,30.77%,85.71%,77.78%,30.00%,8.33%,16.67%,200.00%,11.11%,9.09%,-60.00%,-62.50%,0%,22.22%,150.00%,14.29%,-50.00%,-33.82%,-,-,-,-
Free Cash Flow Per Share,0.26,0.13,0.23,0.17,0.20,0.16,0.24,0.16,0.17,0.13,0.10,0.07,0.20,0.09,0.08,0.11,0.13,0.11,0.39,0.12,0.08,0.07,-,-,-
Dividend Per Share,-,0.060,0.040,0.040,0.040,0.040,0.030,0.030,0.030,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.020,-,-,-,-,-,0.026,-
Dividend Growth,-,50.00%,33.33%,33.33%,33.33%,100.00%,50.00%,50.00%,50.00%,0%,0%,0%,0%,0%,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
