Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30
Revenue,2.47,7.54,2.56,2.55,2.58,14,2.11,2.49,2.33,12.01,1.95,2.07,2.96,13.99,2.75,4.82,4.65,8.61,4.67,4.8,4.7,11.59,5.25,5.1,4.99,16.3,5.45,4.96,4.52,9,4.69,4.59,4.57,7.68,4.9
Revenue Growth (YoY),-4.53%,-46.15%,21.31%,2.29%,11.05%,16.56%,8.59%,20.42%,-21.51%,-14.18%,-29.38%,-57.13%,-36.33%,62.46%,-40.98%,0.52%,-1.08%,-25.65%,-11.09%,-5.87%,-5.69%,-28.90%,-3.72%,2.64%,10.41%,81.16%,16.23%,8.15%,-1.09%,17.15%,-4.19%,-,-,-,-
Cost of Revenue,2.54,0,0,0,0,1.22,0.23,4.32,2.66,3.1,0,0,0,5.71,0,0,3.26,0,0,0,0,0.71,0,0,0,0.53,0.64,0.15,0.27,0.57,-1.37,0.11,0.39,0.23,-1.04
Gross Profit,-0.08,7.54,2.56,2.55,2.58,12.78,1.89,-1.83,-0.34,8.91,1.95,2.07,2.96,8.28,2.75,4.82,1.39,8.61,4.67,4.8,4.7,10.87,5.25,5.1,4.99,15.77,4.81,4.81,4.24,8.43,6.06,4.48,4.18,7.45,5.93
"Selling, General & Admin",3.57,8.35,3.59,3.01,3.93,12.75,2.82,5.02,3.87,11.03,3.03,3.15,2.23,13.52,3.07,5.58,6.31,8.8,5.62,5.87,6.4,11.6,8.35,6.42,6.78,12.8,6.42,5.44,6.31,9.79,5.08,5.6,5.88,7.92,4.31
Other Operating Expenses,1.49,1.8,2.1,1.75,1.96,2.17,-0.76,3.56,2.16,2.49,2.47,2.58,1.37,-3.13,2.28,2.39,2.96,2.1,2.55,2.37,2.56,2.76,3.01,5.13,2.54,2.84,2.89,2.72,2.45,4.52,2.07,2.35,2.18,1.78,2.37
Operating Expenses,5.06,10.15,5.69,4.76,5.89,14.91,2.06,8.58,6.03,13.52,5.5,5.73,3.6,10.39,5.35,7.97,9.27,10.9,8.17,8.24,8.95,14.36,11.36,11.55,9.32,15.64,9.31,8.17,8.76,14.31,7.15,7.95,8.06,9.7,6.68
Operating Income,-5.13,-2.62,-3.13,-2.21,-3.31,-2.13,-0.17,-10.41,-6.37,-4.62,-3.55,-3.66,-0.64,-2.11,-2.59,-3.15,-7.88,-2.29,-3.5,-3.45,-4.25,-3.49,-6.11,-6.45,-4.33,0.13,-4.5,-3.35,-4.52,-5.88,-1.08,-3.47,-3.88,-2.25,-0.75
Interest Expense / Income,0.1,0.07,0.07,0.05,0.03,0.06,0.1,0.06,0.09,0.03,0.03,0.07,0.05,0.07,0.07,0.04,0.04,0.12,0.07,0.04,0.03,0.02,0.07,0.07,0.07,0.04,0.07,0.07,0.42,0.28,0.32,0.33,0.33,0.35,0.3
Other Expense / Income,-24.57,-19.21,18.22,35.67,17.7,-14.23,-2.25,-49.21,-30.6,-74,-12.96,-50.2,96.33,-17.77,-10.25,-1.98,-37.26,45.18,4.67,-18.7,24.68,-25.55,-7.77,-10.81,17.1,-4.65,-10.33,-4.74,-7.19,-11.82,10.52,-4.78,-7.7,-6.22,5.3
