Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
"Selling, General & Admin",0.69,0.22,0.32,0.29,0.44,0.66,0.19,0.12,0,0.03
Operating Expenses,0.69,0.22,0.32,0.29,0.44,0.66,0.19,0.12,0,0.03
Operating Income,-0.69,-0.22,-0.32,-0.29,-0.44,-0.66,-0.19,-0.12,0,-0.03
Other Expense / Income,-3.43,-2.76,-3.07,-2.76,0.66,-5.57,2.97,0.46,-,-
Pretax Income,2.74,2.54,2.75,2.47,-1.1,4.91,-3.15,-0.58,0,-0.03
Income Tax,1.11,0,0,0,0,0,0,0,0,0
Net Income,1.63,2.54,2.75,2.47,-1.1,4.91,-3.15,-0.58,0,-0.03
Net Income Growth,-,-48.15%,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),51,53,53,53,53,53,53,53,10,10
Shares Outstanding (Diluted),51,53,53,53,53,53,53,53,10,10
Shares Change,-3.44%,-,-,-,410.18%,409.69%,-,-,-,-
EPS (Basic),-,0.01,0.05,0.05,-0.02,0.09,-0.06,-0.01,-,-
EPS (Diluted),-,0.01,0.05,0.05,-0.02,0.09,-0.06,-0.01,-,-
EPS Growth,-,-88.89%,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.01,-0.00,0.02,-0.00,-0.00,-0.01,-,-
Effective Tax Rate,40.57%,-,-,-,-,-,-,-,-,-
EBITDA,2.74,2.54,2.75,2.47,-1.1,4.91,-3.15,-0.58,0,-0.03
EBIT,2.74,2.54,2.75,2.47,-1.1,4.91,-3.15,-0.58,0,-0.03
