Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",0.95,0.24,0.28,0.21,0.38,1.92,0.27,1.06,0.45,0.02
Operating Expenses,0.95,0.24,0.28,0.21,0.38,1.92,0.27,1.06,0.45,0.02
Operating Income,-0.95,-0.24,-0.28,-0.21,-0.38,-1.92,-0.27,-1.06,-0.45,-0.02
Interest Expense / Income,0.03,0,0,0,0,0,0,0,0,0
Other Expense / Income,1.74,-3.18,-2.58,-4.51,-6.5,-1.68,-11.04,-12.48,6.24,-
Pretax Income,-2.73,2.94,2.3,4.3,6.12,-0.24,10.77,11.42,-6.69,-0.02
Net Income,-2.73,2.94,2.3,4.3,6.12,-0.24,10.77,11.42,-6.69,-0.02
Net Income Growth,-,-,-78.66%,-62.36%,-,-,-,-,-,-
Shares Outstanding (Basic),25,30,38,38,38,28,38,38,26,6
Shares Outstanding (Diluted),25,8,38,38,38,8,38,38,26,6
Shares Change,-33.32%,-,-,-,47.33%,21.90%,-,-,-,-
EPS (Basic),-0.11,0.08,0.06,0.11,0.16,-0.02,0.28,0.30,-0.26,-
EPS (Diluted),-0.11,0.08,0.06,0.11,0.16,-0.02,0.28,0.30,-0.26,-
EPS Growth,-,-,-78.57%,-63.33%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.03,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.01,-0.05,-
EBITDA,-2.69,2.94,2.3,4.3,6.12,-0.24,10.77,11.42,-6.69,-0.02
EBIT,-2.69,2.94,2.3,4.3,6.12,-0.24,10.77,11.42,-6.69,-0.02
