Metrics,2023-02-28,2022-11-30,2022-08-31,2022-05-31,2022-02-28,2021-11-30
"Selling, General & Admin",0.17,0.07,0.14,0.16,0.05,0
Operating Expenses,0.17,0.07,0.14,0.16,0.05,0
Operating Income,-0.17,-0.07,-0.14,-0.16,-0.05,-0
Other Expense / Income,-1.19,-0.85,-0.39,-0.09,-0,-
Pretax Income,1.03,0.78,0.24,-0.07,-0.05,-0
Net Income,1.03,0.78,0.24,-0.07,-0.05,-0
Shares Outstanding (Basic),15,15,15,15,5,3
Shares Outstanding (Diluted),15,15,15,15,5,3
Shares Change,189.59%,496.74%,-,-,-,-
EPS (Basic),0.07,0.06,0.02,-,-0.01,-
EPS (Diluted),0.07,0.06,0.02,-,-0.01,-
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.02,-0.02,-
EBITDA,1.03,0.78,0.24,-0.07,-0.05,-0
EBIT,1.03,0.78,0.24,-0.07,-0.05,-0
