Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",0.3,0.28,0.27,0,0,0,0,0
Operating Expenses,0.3,0.28,0.27,0,0,0,0,0
Operating Income,-0.3,-0.28,-0.27,0,0,0,0,-0
Other Expense / Income,-0.9,-0.49,-0.11,0.05,0.03,-,-,-
Pretax Income,0.6,0.21,-0.17,-0.05,-0.03,0,0,-0
Income Tax,0.19,0.12,0,0,0,0,0,0
Net Income,0.41,0.09,-0.17,-0.05,-0.03,0,0,-0
Shares Outstanding (Basic),12,15,15,3,3,3,3,3
Shares Outstanding (Diluted),12,15,15,3,3,3,3,3
Shares Change,335.81%,483.00%,483.00%,22.17%,-,-,-,-
EPS (Basic),0.03,0.01,-0.01,-0.02,-0.01,-,-,-
EPS (Diluted),0.03,0.01,-0.01,-0.02,-0.01,-,-,-
Free Cash Flow Per Share,-0.02,-0.01,-0.08,-,-,-,-,-
Effective Tax Rate,31.59%,55.30%,-,-,-,-,-,-
EBITDA,0.6,0.21,-0.17,-0.05,-0.03,0,0,-0
EBIT,0.6,0.21,-0.17,-0.05,-0.03,0,0,-0
