Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
"Selling, General & Admin",1.18,0.83,0.49,0.39,0.25,0.37,0.26,0.96,0.08,0
Operating Expenses,1.18,0.83,0.49,0.39,0.25,0.37,0.26,0.96,0.08,0
Operating Income,-1.18,-0.83,-0.49,-0.39,-0.25,-0.37,-0.26,-0.96,-0.08,-0
Other Expense / Income,-0.3,-2.48,-5.08,-9.77,0.17,-8.17,5.74,-18.89,10.58,-
Pretax Income,-0.88,1.65,4.59,9.38,-0.41,7.81,-6,17.93,-10.66,-0
Income Tax,0.51,0.39,0.03,0,0,0,0,0,0,0
Net Income,-1.4,1.26,4.56,9.38,-0.41,7.81,-6,17.93,-10.66,-0
Net Income Growth,-,-83.91%,-,-47.67%,-,-,-,-,-,-
Shares Outstanding (Basic),39,43,43,43,43,43,43,43,11,8
Shares Outstanding (Diluted),39,43,43,43,43,43,43,43,11,8
Shares Change,-8.47%,-,-,-,288.78%,475.00%,-,-,-,-
EPS (Basic),-0.02,0.03,0.11,0.22,-0.01,0.18,-0.14,0.42,-1.05,-
EPS (Diluted),-0.02,0.03,0.11,0.22,-0.01,0.18,-0.14,0.42,-1.05,-
EPS Growth,-,-83.33%,-,-47.62%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.02,-0.00,-0.00,-0.01,-0.02,-0.01,-0.00,-0.05,-
Effective Tax Rate,-,23.84%,0.68%,-,-,-,-,-,-,-
EBITDA,-0.88,1.65,4.59,9.38,-0.41,7.81,-6,17.93,-10.66,-0
EBIT,-0.88,1.65,4.59,9.38,-0.41,7.81,-6,17.93,-10.66,-0
