Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
"Selling, General & Admin",0.81,0.53,0.23,0.19,0.33,0.49,0.33,0.29,0.22,0.09,0,0.01
Operating Expenses,0.81,0.53,0.23,0.19,0.33,0.49,0.33,0.29,0.22,0.09,0,0.01
Operating Income,-0.81,-0.53,-0.23,-0.19,-0.33,-0.49,-0.33,-0.29,-0.22,-0.09,-0,-0.01
Other Expense / Income,-0.27,-0.18,-1.23,-3.1,0.07,-6.65,2.82,-3.73,7.5,-0.19,-,-
Pretax Income,-0.54,-0.35,0.99,2.91,-0.4,6.16,-3.15,3.43,-7.72,0.1,-0,-0.01
Net Income,-0.54,-0.35,0.99,2.91,-0.4,6.16,-3.15,3.43,-7.72,0.1,-0,-0.01
Net Income Growth,-,-,-,-15.24%,-,5802.15%,-,-,-,-,-,-
Shares Outstanding (Basic),8,8,8,9,18,18,18,18,10,15,3,3
Shares Outstanding (Diluted),8,8,8,9,18,18,18,18,10,15,3,3
Shares Change,-57.76%,-53.81%,-53.81%,-50.23%,76.66%,16.78%,475.00%,475.00%,-,-,-,-
EPS (Basic),-0.02,-0.04,0.12,0.33,-0.02,0.34,-0.18,0.19,-0.76,0.01,-,-
EPS (Diluted),-0.02,-0.04,0.12,0.33,-0.02,0.34,-0.18,0.19,-0.76,0.01,-,-
EPS Growth,-,-,-,73.68%,-,3300.00%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.09,-0.06,0.00,-0.03,-0.01,-0.03,-0.02,-0.01,-0.01,-0.01,-,-
EBITDA,-0.54,-0.35,0.99,2.91,-0.4,6.16,-3.15,3.43,-7.72,0.1,-0,-0.01
EBIT,-0.54,-0.35,0.99,2.91,-0.4,6.16,-3.15,3.43,-7.72,0.1,-0,-0.01
