Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30
Revenue,114.19,145.82,112.77,138.36,-13.98,118.59,161.05,209.04,244.46,192.64,155.08,18.18,247.26,351.92,334.56,318.27,429.33,507.98,511.05,456.1,497.8,450.19
Revenue Growth (YoY),-,22.96%,-29.98%,-33.81%,-,-38.44%,3.85%,1049.81%,-1.13%,-45.26%,-53.65%,-94.29%,-42.41%,-30.72%,-34.53%,-30.22%,-13.75%,12.83%,-,-,-,-
Gross Profit,114.19,145.82,112.77,138.36,-13.98,118.59,161.05,209.04,244.46,192.64,155.08,18.18,247.26,351.92,334.56,318.27,429.33,507.98,511.05,456.1,497.8,450.19
"Selling, General & Admin",55.61,49.77,48.6,43.05,62.42,47.74,52.05,48.96,52.21,46.69,46.12,45.36,67.44,52.99,51.23,56.47,84.44,114.93,126.59,117.11,140.49,166.04
Other Operating Expenses,28.57,33.33,42.78,36.84,43.9,45.25,35.35,45.26,62.8,71.16,68.2,55.13,95.72,59.64,66.86,80.64,91.83,75.7,73.06,63.07,102.47,85.91
Operating Expenses,84.19,83.1,91.38,79.89,106.32,92.99,87.4,94.22,115.01,117.84,114.32,100.49,163.16,112.63,118.09,137.11,176.26,190.63,199.64,180.18,242.96,251.95
Operating Income,30,62.72,21.39,58.47,-120.3,25.6,73.65,114.82,129.45,74.8,40.76,-82.31,84.1,239.29,216.47,181.16,253.07,317.35,311.4,275.92,254.84,198.25
Other Expense / Income,-,-,-,-,-0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pretax Income,30,62.72,21.39,58.47,-120.3,25.6,73.65,114.82,129.45,74.8,40.76,-82.31,84.1,239.29,216.47,181.16,253.07,317.35,311.4,275.92,254.84,198.25
Income Tax,1.87,16.7,3.28,15.39,-15.65,6.57,8.41,29.24,24.17,24.65,15.57,-16.54,23.11,61.96,55.66,45.64,65,82.49,70.16,79.18,79.03,83.89
Net Income,28.14,46.02,18.12,43.08,-104.65,19.03,65.25,85.58,105.28,50.15,25.19,-65.76,60.98,177.34,160.8,135.52,188.06,234.85,241.25,196.75,175.81,114.36
Net Income Growth,-,141.84%,-72.24%,-49.66%,-,-62.05%,159.06%,-,72.64%,-71.72%,-84.34%,-,-67.57%,-24.49%,-33.34%,-31.12%,6.97%,105.36%,-,-,-,-
Shares Outstanding (Basic),"1,372","1,372","1,372","1,372","1,372","1,372","1,372","1,372","1,372","1,372","1,372","1,372","1,372","1,372","1,372","1,360","1,360","1,360","1,360","1,360","1,360",-
Shares Change,-,-,-,-,-,-,-,-,-,-,-,0.82%,0.82%,0.82%,0.82%,-,-,-,-,-,-,-
EPS (Basic),0.40,0.80,0.20,0.60,-1.40,0.20,1.00,1.20,1.40,0.80,0.40,-1.00,0.80,2.60,2.40,2.00,2.80,3.80,4.00,3.20,2.80,1.80
EPS (Diluted),0.40,0.60,0.20,0.60,-1.20,-,1.00,1.20,1.60,0.60,0.40,-1.00,0.80,2.40,2.20,1.80,2.40,3.40,3.60,3.00,2.60,1.80
EPS Growth,-,-,-80.00%,-50.00%,-,-,150.00%,-,100.00%,-75.00%,-81.82%,-,-66.67%,-29.41%,-38.89%,-40.00%,-7.69%,88.89%,-,-,-,-
Free Cash Flow Per Share,-1.94,-,-,-,0.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,-,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,26.27%,43.01%,18.97%,42.26%,-,21.59%,45.73%,54.93%,52.95%,38.83%,26.28%,-452.73%,34.01%,68.00%,64.70%,56.92%,58.94%,62.47%,60.93%,60.50%,51.19%,44.04%
Profit Margin,24.64%,31.56%,16.06%,31.13%,-,16.05%,40.51%,40.94%,43.07%,26.03%,16.24%,-361.73%,24.66%,50.39%,48.06%,42.58%,43.80%,46.23%,47.21%,43.14%,35.32%,25.40%
Free Cash Flow Margin,-116.31%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Effective Tax Rate,6.22%,26.62%,15.31%,26.33%,-,25.66%,11.41%,25.46%,18.67%,32.95%,38.21%,-,27.48%,25.89%,25.71%,25.19%,25.69%,26.00%,22.53%,28.70%,31.01%,42.31%
EBITDA,30.45,-,-,-,-119.58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EBITDA Margin,26.66%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Depreciation & Amortization,0.44,-,-,-,0.73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EBIT,30,62.72,21.39,58.47,-120.3,25.6,73.65,114.82,129.45,74.8,40.76,-82.31,84.1,239.29,216.47,181.16,253.07,317.35,311.4,275.92,254.84,198.25
EBIT Margin,26.27%,43.01%,18.97%,42.26%,-,21.59%,45.73%,54.93%,52.95%,38.83%,26.28%,-452.73%,34.01%,68.00%,64.70%,56.92%,58.94%,62.47%,60.93%,60.50%,51.19%,44.04%
