Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30
Revenue,161.27,302.43,684.17,564.23,821.79,605.46,690.31,484.65,"1,189.87","1,818.29","1,834.2",830.65,455.46,0,0
Revenue Growth (YoY),-80.38%,-50.05%,-0.89%,16.42%,-30.93%,-66.70%,-62.36%,-41.65%,161.25%,-,-,-,-,-,-
Cost of Revenue,174.35,172.47,193.12,209.18,234.51,208.19,213.14,211.54,246.73,133.58,238.18,158.02,147.66,0,0
Gross Profit,-13.07,129.96,491.05,355.05,587.28,397.27,477.17,273.12,943.14,"1,684.71","1,596.02",672.63,307.8,0,0
"Selling, General & Admin",51.83,72.64,69.38,60.53,51.16,61.8,53.29,53.45,27.27,34.48,32.09,29.65,23.01,0.02,0.02
Other Operating Expenses,11.43,11.66,18.16,20.74,18.42,14.86,0.32,6.82,-10.02,224.14,71.68,72.72,221.4,0,0
Operating Expenses,63.26,84.3,87.53,81.28,69.58,76.66,53.61,60.27,17.26,258.61,103.77,102.37,244.41,0.02,0.02
Operating Income,-76.33,45.66,403.52,273.77,517.71,320.61,423.56,212.85,925.88,"1,426.09","1,492.25",570.26,63.39,-0.02,-0.02
Interest Expense / Income,63.28,114.92,73.14,57.56,60.37,88.77,90.22,72.67,52.99,53.35,40.62,30.03,43.04,0,0
Other Expense / Income,-126.67,-62.21,313.91,207.08,431.36,222.88,304.61,130.45,812.02,-,-,-,-,-,-
Pretax Income,-12.94,-7.05,16.47,9.14,25.98,8.96,28.73,9.73,60.87,"1,372.74","1,451.63",540.24,20.35,-0.02,-0.02
Income Tax,-1,-6.77,4.77,0.77,4.05,-7.99,3.48,1.46,12.89,0.95,0.75,0.75,0,0,0
Net Income,-11.94,-0.28,11.7,8.37,21.93,16.95,25.25,8.26,47.99,"1,371.79","1,450.88",539.49,20.35,-0.02,-0.02
Net Income Growth,-,-,-53.67%,1.23%,-54.30%,-98.76%,-98.26%,-98.47%,135.81%,-,-,-,-,-,-
Shares Outstanding (Basic),93,93,93,93,92,97,101,103,103,53,53,53,53,12,12
Shares Outstanding (Diluted),93,93,93,93,"1,594","1,599","1,604","1,605","1,605",-,-,-,-,-,12
Shares Change,-94.17%,-94.21%,-94.23%,-94.23%,-0.68%,2909.75%,2954.69%,2957.27%,2921.50%,361.96%,356.52%,-,-,-,-
EPS (Basic),-0.13,-,0.13,0.09,0.24,0.18,0.25,0.08,0.47,-0.03,-0.10,-,0.02,-,-
EPS (Diluted),-0.13,-,0.13,0.09,0.22,0.11,0.16,0.07,0.33,-0.03,-0.10,-,0.02,-,-
EPS Growth,-,-,-18.75%,28.57%,-33.33%,-,-,-,1550.00%,-,-,-,-,-,-
Free Cash Flow Per Share,21.36,-27.55,-5.98,-4.33,127.37,-64.23,5.66,-68.17,25.48,-26.11,31.11,7.68,-12.23,-0.01,-0.01
Dividend Per Share,-,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,-,-,-,-,-,-
Gross Margin,-8.11%,42.97%,71.77%,62.93%,71.46%,65.61%,69.12%,56.35%,79.26%,92.65%,87.01%,80.98%,67.58%,-,-
Operating Margin,-47.33%,15.10%,58.98%,48.52%,63.00%,52.95%,61.36%,43.92%,77.81%,78.43%,81.36%,68.65%,13.92%,-,-
Profit Margin,-7.40%,-0.09%,1.71%,1.48%,2.67%,2.80%,3.66%,1.71%,4.03%,75.44%,79.10%,64.95%,4.47%,-,-
Free Cash Flow Margin,1230.81%,-843.33%,-80.87%,-70.95%,1429.27%,-1026.70%,82.88%,-1445.46%,220.80%,-76.30%,89.04%,48.54%,-142.69%,-,-
Effective Tax Rate,-,-,28.97%,8.42%,15.57%,-89.17%,12.12%,15.03%,21.17%,0.07%,0.05%,0.14%,-,-,-
EBITDA,62.99,120.82,102.03,78.82,98.26,109,128.65,91.48,121.84,"1,429.42","1,498.88",574.15,66.72,-0.02,-0.02
EBITDA Margin,39.06%,39.95%,14.91%,13.97%,11.96%,18.00%,18.64%,18.88%,10.24%,78.61%,81.72%,69.12%,14.65%,-,-
Depreciation & Amortization,12.65,12.95,12.42,12.12,11.91,11.26,9.7,9.08,7.98,3.32,6.63,3.89,3.33,0,0
EBIT,50.34,107.87,89.6,66.69,86.35,97.73,118.95,82.4,113.86,"1,426.09","1,492.25",570.26,63.39,-0.02,-0.02
EBIT Margin,31.21%,35.67%,13.10%,11.82%,10.51%,16.14%,17.23%,17.00%,9.57%,78.43%,81.36%,68.65%,13.92%,-,-
