Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.22,0.24,0.31,0.48,0.07,0,0
Other Operating Expenses,0.4,0.03,0.05,0.05,0.24,0,0
Operating Expenses,0.62,0.27,0.36,0.53,0.31,0,0
Operating Income,-0.62,-0.27,-0.36,-0.53,-0.31,-0,-0
Other Expense / Income,-0.3,-0.63,-0.54,-0.97,-0.25,-,-
Pretax Income,-0.32,0.36,0.17,0.45,-0.06,-0,-0
Income Tax,0.2,0.02,0,0,0,0,0
Net Income,-0.52,0.34,0.17,0.45,-0.06,-0,-0
Shares Outstanding (Basic),10,11,11,11,2,2,2
Shares Outstanding (Diluted),10,11,11,11,2,2,2
Shares Change,336.59%,475.00%,400.00%,-,-,-,-
EPS (Basic),-0.16,0.04,0.02,0.04,-0.76,-,-
EPS (Diluted),-0.16,0.04,0.02,0.04,-0.76,-,-
Free Cash Flow Per Share,0.00,-0.02,-0.03,-0.08,-0.09,-,-
Effective Tax Rate,-,6.77%,-,-,-,-,-
EBITDA,-0.32,0.36,0.17,0.45,-0.06,-0,-0
EBIT,-0.32,0.36,0.17,0.45,-0.06,-0,-0
