Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-24
"Selling, General & Admin",0.3,0.21,0.28,0.35,0.15,0
Operating Expenses,0.3,0.21,0.28,0.35,0.15,0
Operating Income,-0.3,-0.21,-0.28,-0.35,-0.15,-0
Other Expense / Income,-1.33,-0.69,-0.08,-0,-0.01,-
Pretax Income,1.03,0.48,-0.19,-0.35,-0.14,-0
Income Tax,0.4,0.21,0,0,0,0
Net Income,0.63,0.27,-0.19,-0.35,-0.14,-0
Shares Outstanding (Basic),25,22,22,22,9,4
Shares Outstanding (Diluted),25,22,22,22,9,4
Shares Change,171.19%,475.00%,-,-,-,-
EPS (Basic),-0.01,-0.01,-0.01,-0.07,-1.46,-
EPS (Diluted),-0.01,-0.01,-0.01,-0.07,-1.46,-
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.01,-0.04,-
Effective Tax Rate,38.85%,43.34%,-,-,-,-
EBITDA,1.03,0.48,-0.19,-0.35,-0.14,-0
EBIT,1.03,0.48,-0.19,-0.35,-0.14,-0
