Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30
Revenue,199.99,279.95,266.09,233.14,246.32,313.27,231.3,240.68,206.7,322,297.56,232.56,200.17,248.65,174.23,166.7,128.06,175.39,140.14,130.67,134.04,190.55,78.45,109.31,120.97,173.5,121.35,89.28,115.3,103.82,147.32,72.47,82.33,148.6,79.53
Revenue Growth (YoY),-18.81%,-10.63%,15.04%,-3.13%,19.17%,-2.71%,-22.27%,3.49%,3.26%,29.50%,70.79%,39.51%,56.32%,41.77%,24.32%,27.58%,-4.47%,-7.96%,78.64%,19.54%,10.81%,9.83%,-35.35%,22.43%,4.91%,67.11%,-17.63%,23.20%,40.06%,-30.13%,85.25%,-,-,-,-
Gross Profit,199.99,279.95,266.09,233.14,246.32,313.27,231.3,240.68,206.7,322,297.56,232.56,200.17,248.65,174.23,166.7,128.06,175.39,140.14,130.67,134.04,190.55,78.45,109.31,120.97,173.5,121.35,89.28,115.3,103.82,147.32,72.47,82.33,148.6,79.53
"Selling, General & Admin",161.03,207.02,205.18,177.39,184.11,225.87,171.89,177.65,153.66,218.15,215.46,173.06,156.04,187.49,145.98,142.85,118.26,148.61,120.82,114.11,124.58,158.68,87.06,104.95,111.37,141,111.48,90.73,102.88,127.33,93.2,76.71,92.16,88.86,89.9
Other Operating Expenses,9.77,12.94,13.27,12.06,12.07,12.56,11.13,10.59,9.15,9.23,12.01,9.83,10.57,12.26,8.47,10.26,9.88,10.11,7.24,6.42,6.84,6.21,7,6.44,7.51,8.51,11.82,8.81,9.69,5.16,10.27,2.2,4.86,4.91,3.27
Operating Expenses,170.8,219.96,218.45,189.45,196.17,238.43,183.02,188.24,162.81,227.37,227.47,182.89,166.61,199.75,154.44,153.11,128.14,158.72,128.06,120.53,131.42,164.89,94.06,111.39,118.88,149.51,123.31,99.54,112.57,132.49,103.46,78.91,97.01,93.77,93.17
Operating Income,29.19,59.99,47.64,43.69,50.15,74.84,48.28,52.45,43.89,94.63,70.1,49.68,33.56,48.9,19.78,13.59,-0.09,16.67,12.08,10.14,2.62,25.66,-15.61,-2.08,2.09,23.98,-1.96,-10.26,2.73,-28.67,43.86,-6.44,-14.69,54.83,-13.64
Other Expense / Income,10.65,21.5,17.95,16.03,18.76,29.22,17.74,19.71,17.11,35.28,27.2,19.25,13.15,21.23,7.96,5.2,-0.16,5.09,4.73,4.08,1.49,9.08,-5.7,-0.78,1.63,11.98,-0.63,-4.39,1.18,-13.75,-,-,-,-,-
Pretax Income,18.54,38.5,29.69,27.66,31.38,45.62,30.54,32.74,26.78,59.35,42.9,30.43,20.41,27.67,11.83,8.39,0.08,11.58,7.35,6.06,1.13,16.58,-9.92,-1.3,0.46,12,-1.34,-5.86,1.56,-14.92,43.86,-6.44,-14.69,54.83,-13.64
Income Tax,1.21,13.92,8.6,8.5,5.68,10.72,9.09,9.59,0.09,13.24,11.99,8.76,1.55,10.86,5,3.57,-1.02,4.14,-0.2,-0.88,-4.11,54.03,-13.26,-1.52,-0.87,5.25,8.38,-5.54,1.3,-3.73,1.97,0.58,1.42,1.52,0.55
