Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30
Revenue,58.22,51.72,50.14,48.78,48.68,53.24,50.7,44.65,37.76,33.6,32.52,22.79,26.37,20.01,34.15,33.7,32.4,29.01,27.15
Revenue Growth (YoY),19.59%,-2.86%,-1.09%,9.23%,28.92%,58.44%,55.92%,95.92%,43.22%,67.96%,-4.78%,-32.36%,-18.63%,-31.03%,25.76%,-,-,-,-
Gross Profit,58.22,51.72,50.14,48.78,48.68,53.24,50.7,44.65,37.76,33.6,32.52,22.79,26.37,20.01,34.15,33.7,32.4,29.01,27.15
"Selling, General & Admin",29.24,29.07,23.88,22.83,23.21,21.48,20.11,20.25,18.13,19.13,18.53,17.93,18.54,18.14,18.47,18.44,18.74,16.35,16.47
Other Operating Expenses,8.85,7.35,4.57,6.37,4.46,5.23,3.93,5.57,4.69,4.59,4.48,13.08,3.67,3.74,2.71,3.52,3.9,3.82,3.41
Operating Expenses,38.09,36.42,28.45,29.2,27.67,26.72,24.04,25.81,22.82,23.72,23.01,31.01,22.22,21.88,21.17,21.96,22.63,20.17,19.88
Operating Income,20.13,15.29,21.69,19.57,21.02,26.53,26.66,18.84,14.94,9.88,9.5,-8.22,4.15,-1.87,12.98,11.74,9.77,8.84,7.28
Pretax Income,20.13,15.29,21.69,19.57,21.02,26.53,26.66,18.84,14.94,9.88,9.5,-8.22,4.15,-1.87,12.98,11.74,9.77,8.84,7.28
Income Tax,4.02,3.35,4.41,4.03,4.19,5.73,5.66,3.26,2.91,1.79,1.5,-0.86,0.29,-1.17,2.59,2.3,0.42,-1.49,0.92
Net Income,16.11,11.95,17.28,15.55,16.83,20.8,21,15.58,12.04,8.09,8.01,-7.36,3.86,-0.7,10.38,9.44,9.35,10.33,6.35
Net Income Growth,-4.28%,-42.57%,-17.71%,-0.21%,39.83%,156.99%,162.30%,-,212.03%,-,-22.90%,-,-58.75%,-,63.42%,-,-,-,-
Shares Outstanding (Basic),48,49,49,50,50,51,51,52,52,52,52,52,52,52,51,51,51,51,-
Shares Change,-3.41%,-4.52%,-3.29%,-3.75%,-2.78%,-2.45%,-2.30%,-1.02%,-0.87%,0.44%,2.10%,1.95%,1.92%,1.67%,-,-,-,-,-
EPS (Basic),0.33,0.24,0.35,0.31,0.33,0.40,0.41,0.30,0.23,0.15,0.15,-0.14,0.07,-0.04,0.22,0.21,0.20,0.25,0.15
EPS (Diluted),0.33,0.24,0.35,0.31,0.33,0.40,0.41,0.30,0.23,0.15,0.15,-0.14,0.07,-0.03,0.21,0.20,0.20,0.25,0.15
EPS Growth,0%,-40.00%,-14.63%,3.33%,43.48%,166.67%,173.33%,-,228.57%,-,-28.57%,-,-65.00%,-,40.00%,-,-,-,-
Free Cash Flow Per Share,0.45,0.37,0.77,0.17,0.27,0.45,0.46,0.99,-0.19,0.50,0.27,0.42,0.24,0.36,0.47,0.43,0.21,0.32,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,34.57%,29.57%,43.26%,40.13%,43.17%,49.82%,52.59%,42.19%,39.57%,29.40%,29.23%,-36.06%,15.74%,-9.35%,38.00%,34.83%,30.15%,30.49%,26.80%
Profit Margin,27.67%,23.10%,34.46%,31.87%,34.57%,39.07%,41.42%,34.88%,31.87%,24.09%,24.62%,-32.28%,14.63%,-3.50%,30.41%,28.01%,28.86%,35.62%,23.40%
Free Cash Flow Margin,37.21%,34.68%,75.61%,17.53%,27.80%,43.29%,45.91%,114.89%,-26.09%,77.44%,43.52%,96.40%,46.80%,94.76%,71.13%,65.57%,33.83%,57.03%,-
Effective Tax Rate,19.98%,21.89%,20.33%,20.58%,19.93%,21.58%,21.23%,17.32%,19.46%,18.07%,15.76%,-,7.06%,-,19.98%,19.57%,4.29%,-16.85%,12.70%
EBITDA,22.45,16.88,22.93,20.81,22.26,27.79,27.94,20.18,16.32,11.24,10.81,-6.93,5.45,-0.57,14.29,13.07,11.14,10.22,-
EBITDA Margin,38.55%,32.64%,45.74%,42.66%,45.72%,52.20%,55.11%,45.19%,43.21%,33.46%,33.23%,-30.39%,20.65%,-2.83%,41.84%,38.78%,34.38%,35.23%,-
Depreciation & Amortization,2.32,1.59,1.24,1.23,1.24,1.27,1.28,1.34,1.38,1.36,1.3,1.29,1.3,1.3,1.31,1.33,1.37,1.38,-
EBIT,20.13,15.29,21.69,19.57,21.02,26.53,26.66,18.84,14.94,9.88,9.5,-8.22,4.15,-1.87,12.98,11.74,9.77,8.84,7.28
EBIT Margin,34.57%,29.57%,43.26%,40.13%,43.17%,49.82%,52.59%,42.19%,39.57%,29.40%,29.23%,-36.06%,15.74%,-9.35%,38.00%,34.83%,30.15%,30.49%,26.80%
