Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
"Selling, General & Admin",0.31,0.36,0.23,0.28,0.61,-
Operating Expenses,0.31,0.36,0.23,0.28,0.61,-
Operating Income,-0.31,-0.36,-0.23,-0.28,-0.61,-
Other Expense / Income,-1.21,-0.96,-0.5,-0.16,-0.01,-
Pretax Income,0.9,0.61,0.28,-0.12,-0.6,-
Net Income,0.9,0.61,0.28,-0.12,-0.6,-
Shares Outstanding (Basic),14,14,14,14,6,3
Shares Outstanding (Diluted),14,14,14,14,6,-
Shares Change,131.68%,444.08%,-,-,-,-
EPS (Basic),-0.02,-0.02,-0.02,-0.02,-1.22,-
EPS (Diluted),-0.02,-0.02,-0.02,-0.02,-1.22,-
Free Cash Flow Per Share,0.08,0.10,-0.00,-0.00,-0.21,-
EBITDA,0.9,0.61,0.28,-0.12,-0.6,-
EBIT,0.9,0.61,0.28,-0.12,-0.6,-
