Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31
Revenue,0.31,0.27,0.34,0.51,0.56,0.44,0.32,0.38,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0.02,0.14,0.2,0.16,0.17,0.14,0.04,0.02,0,0,0,-,-,-
Revenue Growth (YoY),-44.67%,-37.99%,6.44%,35.18%,676.32%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-93.99%,-99.75%,-98.40%,-,-90.74%,-1.88%,409.63%,659.89%,11022.96%,2839.23%,883.29%,-,-,-,-,-,-,-
Cost of Revenue,0.08,0.11,0.08,0.09,0.14,0.12,0.07,0.06,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.11,0.11,0.11,0.1,0.06,0.02,0.01,0,0,0,-,-,-
Gross Profit,0.23,0.16,0.26,0.42,0.43,0.31,0.25,0.32,0.06,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,-0,-0.02,0.03,0.09,0.04,0.07,0.08,0.02,0.01,0,0,0,-,-,-
"Selling, General & Admin",1.08,0.91,1.11,1.17,2.12,2.41,5.04,2.02,7.89,0.53,0.88,0.26,0.27,0.62,0.26,0.3,0.25,0.23,0.27,0.24,0.26,0.96,0.22,0.22,0.18,0.34,0.19,0.38,0.41,0.29,4.17,2.05,1.61,7.48,2.59,2.67,1.56,-,-,-
Research & Development,0.2,0.16,0.13,0.19,0.14,0.11,0.27,0.25,0.08,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-
Other Operating Expenses,0.08,0.49,0.15,8.89,3.24,-2.99,0.21,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,-0.02,0.24,-0,0.3,0,0,0,0.28,0,0,0,0,0,0
Operating Expenses,1.36,1.56,1.38,10.25,5.49,-0.47,5.52,4.53,7.98,0.58,0.88,0.26,0.27,0.62,0.26,0.3,0.25,0.23,0.27,0.24,0.26,0.96,0.22,0.22,0.18,0.33,0.17,0.61,0.4,0.59,4.17,2.05,1.61,7.76,2.59,2.67,1.56,-,-,-
Operating Income,-1.13,-1.41,-1.12,-9.83,-5.06,0.78,-5.27,-4.21,-7.92,-0.58,-0.88,-0.26,-0.27,-0.62,-0.26,-0.3,-0.25,-0.23,-0.27,-0.24,-0.26,-0.96,-0.21,-0.21,-0.18,-0.33,-0.19,-0.59,-0.32,-0.54,-4.1,-1.97,-1.59,-7.75,-2.59,-2.66,-1.56,-,-,-
Interest Expense / Income,0,0,0,0,0,0.01,0.06,0.06,0.05,0.01,0.1,0.1,0.01,0.03,0.05,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-
Other Expense / Income,0.29,-0.01,-0.09,-2.11,0.68,1.35,-1.48,0.57,-1.19,0.17,0.03,0.06,0.09,0.08,0.04,-,-,-0.01,-0.05,-0.02,-0.09,-1.06,10.75,-0.81,35.02,16.99,-3.43,27.55,1.72,1.08,-0.28,-0.72,1.76,0.4,-0,-0.1,-0.11,-,-,-
Pretax Income,-1.41,-1.4,-1.03,-7.72,-5.74,-0.58,-3.84,-4.84,-6.78,-0.76,-1.01,-0.42,-0.37,-0.73,-0.35,-0.31,-0.26,-0.22,-0.22,-0.22,-0.16,0.1,-10.96,0.59,-35.2,-17.32,3.24,-28.14,-2.04,-1.63,-3.82,-1.25,-3.35,-8.15,-2.59,-2.57,-1.45,-,-,-
Net Income,-1.41,-1.4,-1.03,-7.72,-5.74,-0.58,-3.84,-4.84,-6.78,-0.76,-1.01,-0.42,-0.37,-0.73,-0.35,-0.31,-0.26,-0.22,-0.22,-0.22,-0.16,0.1,-10.96,0.59,-35.2,-17.32,3.24,-28.14,-2.04,-1.63,-3.82,-1.25,-3.35,-8.15,-2.59,-2.57,-1.45,-,-,-
Preferred Dividends,0,0,0,0,0,0,0.01,0.21,4.84,0,0,0,0,0,0,0,0.1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-
Net Income Common,-1.41,-1.4,-1.03,-7.72,-5.74,-0.58,-3.86,-5.06,-11.62,-0.76,-1.01,-0.42,-0.37,-0.73,-0.35,-0.31,-0.35,-0.23,-0.22,-0.22,-0.16,0.1,-10.96,0.59,-35.2,-17.32,3.24,-28.14,-2.04,-1.63,-3.82,-1.25,-3.35,-8.15,-2.59,-2.57,-1.45,-,-,-
Shares Outstanding (Basic),14,13,13,13,12,7,7,6,5,3,3,3,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
Shares Outstanding (Diluted),14,13,13,13,12,7,7,6,5,3,3,3,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-
Shares Change,11.66%,91.23%,98.70%,123.12%,156.29%,129.29%,111.42%,108.72%,107.70%,87.81%,94.63%,101.76%,76.51%,27.38%,27.57%,8.72%,6.18%,202.84%,194.24%,461.22%,1766.40%,1263.85%,786.21%,2141.34%,594.44%,218.93%,403.78%,5.51%,7.88%,18.93%,12.22%,22.02%,41.95%,15.15%,-,-,-,-,-,-
EPS (Basic),-0.10,-0.10,-0.08,-0.61,-0.47,0.54,-0.59,-0.89,-2.43,-0.20,-0.33,-0.20,-0.20,-0.40,-0.20,-0.20,-0.30,-0.20,-0.20,-0.20,-0.10,81.01,-27.00,3.00,-534.05,-264.03,69.01,-2859.29,-216.02,-186.04,-360.03,-180.01,-360.03,-1080.09,-360.03,-360.03,-180.01,-,-,-
EPS (Diluted),-0.10,-0.10,-0.08,-0.61,-0.47,0.54,-0.59,-0.89,-2.43,-0.20,-0.33,-0.20,-0.20,-0.40,-0.20,-0.20,-0.30,-0.20,-0.20,-0.20,-0.10,81.01,-27.00,3.00,-534.05,-264.03,69.01,-2859.29,-216.02,-186.04,-360.03,-180.01,-360.03,-1080.09,-360.03,-360.03,-180.01,-,-,-
Free Cash Flow Per Share,-0.08,-0.05,-0.06,0.14,-0.09,-0.14,-0.09,-0.13,-0.53,-0.44,-0.18,-0.31,-0.12,-0.23,-0.46,-0.15,-0.16,-0.17,-0.02,-0.11,-0.11,-1.29,-0.03,-3.89,-1.38,-4.63,-1.80,-19.08,-38.32,-31.62,-22.90,-52.65,-38.11,-7.35,-54.39,-82.61,-41.83,-,-,-
Dividend Per Share,-,-,-,-,0.050,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,73.67%,58.48%,76.12%,81.74%,75.51%,71.98%,77.83%,84.43%,79.32%,-,-,-,-,-,-,-,-,-,-,-,-,-,100.00%,100.00%,100.00%,-,-123.98%,18.94%,42.76%,28.43%,39.77%,58.20%,56.64%,66.94%,100.00%,100.00%,100.00%,-,-,-
Operating Margin,-362.23%,-519.07%,-325.87%,-1911.76%,-899.42%,179.54%,-1629.09%,-1106.33%,-10918.44%,-,-,-,-,-,-,-,-,-,-,-,-,-,-22756.64%,-59984.36%,-5541.18%,-,-1212.44%,-414.65%,-159.65%,-350.38%,-2425.97%,-1362.30%,-4061.35%,-37957.86%,-170474.14%,-54225.92%,-39273.88%,-,-,-
Profit Margin,-453.72%,-515.73%,-299.32%,-1501.83%,-1019.64%,-133.44%,-1192.27%,-1329.02%,-16023.07%,-,-,-,-,-,-,-,-,-,-,-,-,-,-1164691.39%,165271.79%,-1106430.18%,-,20684.65%,-19866.01%,-1024.06%,-1049.93%,-2259.10%,-865.69%,-8571.88%,-39926.27%,-170361.71%,-52272.39%,-36531.05%,-,-,-
Free Cash Flow Margin,-361.48%,-238.96%,-227.61%,331.75%,-187.88%,-220.47%,-190.08%,-197.91%,-3504.02%,-,-,-,-,-,-,-,-,-,-,-,-,-,-1204.46%,-239714.53%,-2852.15%,-,-548.65%,-132.51%,-182.21%,-193.07%,-128.01%,-340.06%,-856.04%,-286.66%,-30142.57%,-12853.40%,-6508.08%,-,-,-
EBITDA,-1.41,-1.4,-1.03,-7.72,-5.74,-0.57,-3.78,-4.78,-6.73,-0.75,-0.91,-0.32,-0.36,-0.7,-0.3,-0.3,-0.25,-0.22,-0.22,-0.22,-0.16,0.1,-10.96,0.59,-35.19,-17.32,3.24,-28.06,-1.94,-1.53,-3.73,-1.18,-3.3,-8.13,-2.59,-2.57,-1.45,-,-,-
EBITDA Margin,-453.35%,-515.29%,-298.99%,-1501.65%,-1019.50%,-130.09%,-1170.05%,-1256.81%,-9276.54%,-,-,-,-,-,-,-,-,-,-,-,-,-,-1164678.21%,165272.07%,-1106401.29%,-,20696.75%,-19804.14%,-974.65%,-987.15%,-2204.84%,-816.71%,-8450.68%,-39824.50%,-170147.50%,-52225.08%,-36522.67%,-,-,-
Depreciation & Amortization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.09,0.09,0.09,0.07,0.05,0.02,0,0,0,-,-,-
EBIT,-1.41,-1.4,-1.03,-7.72,-5.74,-0.57,-3.78,-4.78,-6.73,-0.75,-0.91,-0.32,-0.36,-0.7,-0.3,-0.3,-0.25,-0.22,-0.22,-0.22,-0.16,0.1,-10.96,0.59,-35.2,-17.32,3.24,-28.14,-2.04,-1.62,-3.82,-1.25,-3.35,-8.15,-2.59,-2.57,-1.45,-,-,-
