Metrics,2023-02-28,2022-11-30,2022-08-31,2022-05-31,2022-02-28,2022-01-07
"Selling, General & Admin",0.26,0.25,0.18,0.21,0.03,-
Operating Expenses,0.26,0.25,0.18,0.21,0.03,-
Operating Income,-0.26,-0.25,-0.18,-0.21,-0.03,-
Other Expense / Income,-1.25,-0.92,-0.46,-0.11,-,-
Pretax Income,0.98,0.67,0.28,-0.1,-0.03,-
Net Income,0.98,0.67,0.28,-0.1,-0.03,-
Shares Outstanding (Basic),14,10,14,8,3,3
Shares Outstanding (Diluted),14,10,14,8,3,-
Shares Change,479.60%,293.29%,-,-,-,-
EPS (Basic),0.07,0.06,0.02,-0.01,-0.01,-
EPS (Diluted),0.07,0.06,0.02,-0.01,-0.01,-
Free Cash Flow Per Share,-0.01,-,-,-0.04,-0.01,-
EBITDA,0.98,-,-,-0.1,-0.03,-
EBIT,0.98,0.67,0.28,-0.1,-0.03,-
