Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
"Selling, General & Admin",0.84,0.53,0.1,0.19,0.11,-
Other Operating Expenses,0,0.17,0,0,0,0
Operating Expenses,0.84,0.7,0.1,0.19,0.11,-
Operating Income,-0.84,-0.7,-0.1,-0.19,-0.11,-
Other Expense / Income,-0.88,-0.7,-0.37,-0.1,-0.02,-
Pretax Income,0.04,-0,0.28,-0.09,-0.1,-
Income Tax,0.19,0.22,0,0,0,-
Net Income,-0.14,-0.22,0.28,-0.09,-0.1,-
Shares Outstanding (Basic),10,10,10,10,5,9
Shares Outstanding (Diluted),10,10,10,10,5,-
Shares Change,121.14%,15.08%,-,-,-,-
EPS (Basic),-0.06,-0.08,-0.01,-0.02,-0.38,-
EPS (Diluted),-0.06,-0.08,-0.01,-0.02,-0.38,-
Free Cash Flow Per Share,0.02,0.04,0.03,-0.01,-0.09,-
Effective Tax Rate,441.59%,-,-,-,-,-
EBITDA,0.04,-0,0.28,-0.09,-0.1,-
EBIT,0.04,-0,0.28,-0.09,-0.1,-
