Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
"Selling, General & Admin",0.5,0.4,0.44,0.4,0.49,0.26,-0,0.01,0,0
Operating Expenses,0.5,0.4,0.44,0.4,0.49,0.26,-0,0.01,0,0
Operating Income,-0.5,-0.4,-0.44,-0.4,-0.49,-0.26,0,-0.01,0,-0
Other Expense / Income,-1.71,-1.11,-1.62,-1.18,-1.46,-0.32,-,-,-,-
Pretax Income,1.21,0.71,1.17,0.78,0.97,0.06,0,-0.01,0,-0
Income Tax,0.32,0.13,0,0,0,0,0,0,0,0
Net Income,0.89,0.58,1.17,0.78,0.97,0.06,0,-0.01,0,-0
Net Income Growth,-7.76%,846.03%,5872595.00%,-,-,-,-,-,-,-
Shares Outstanding (Basic),20,20,20,20,10,12,4,4,4,4
Shares Outstanding (Diluted),20,20,20,20,10,12,4,4,4,4
Shares Change,105.05%,75.01%,441.27%,441.27%,163.97%,209.27%,-,-,-,-
EPS (Basic),0.04,0.03,0.06,0.04,0.09,0.01,-,-,-,-
EPS (Diluted),0.04,0.03,0.06,0.04,0.09,0.01,-,-,-,-
EPS Growth,-55.56%,200.00%,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.02,-0.01,-0.01,-0.02,-0.01,-0.06,-,-,-,-
Effective Tax Rate,26.27%,18.16%,-,-,-,-,-,-,-,-
EBITDA,1.21,0.71,1.17,0.78,0.97,0.06,0,-0.01,0,-0
EBIT,1.21,0.71,1.17,0.78,0.97,0.06,0,-0.01,0,-0
