Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30
Revenue,32.25,31.91,36.59,34.87,38.21,36.57,35.14,31.21,28.12,23.61,22.45,20.28,23.52,24.31,26.98,27.35,22.24,23.57,23.74
Revenue Growth (YoY),-15.59%,-12.73%,4.13%,11.72%,35.86%,54.88%,56.51%,53.90%,19.57%,-2.87%,-16.78%,-25.83%,5.76%,3.14%,13.65%,-,-,-,-
Gross Profit,32.25,31.91,36.59,34.87,38.21,36.57,35.14,31.21,28.12,23.61,22.45,20.28,23.52,24.31,26.98,27.35,22.24,23.57,23.74
"Selling, General & Admin",8,9.44,9.35,9.52,8.75,9.43,10.36,8.57,8.43,8.57,8.13,7.37,8.16,7.66,8.12,7.64,7.93,8.05,7.87
Other Operating Expenses,2.68,2.94,3.34,3.6,3.43,3.09,2.75,3.53,2.28,2.51,2.02,2.36,1.99,2.19,2.04,2.3,2.13,2.47,2.55
Operating Expenses,10.68,12.38,12.69,13.12,12.18,12.51,13.11,12.09,10.71,11.08,10.15,9.72,10.15,9.84,10.16,9.93,10.06,10.52,10.42
Operating Income,21.57,19.53,23.9,21.75,26.03,24.05,22.03,19.12,17.41,12.53,12.3,10.56,13.37,14.46,16.82,17.41,12.17,13.05,13.32
Pretax Income,21.57,19.53,23.9,21.75,26.03,24.05,22.03,19.12,17.41,12.53,12.3,10.56,13.37,14.46,16.82,17.41,12.17,13.05,13.32
Income Tax,5.84,9.35,7.01,5.65,6.6,6.61,5.15,4.73,4.43,3.08,2.92,2.82,3.55,3.79,4.46,4.45,3.44,3.31,3.47
Net Income,15.73,10.18,16.89,16.1,19.43,17.45,16.88,14.39,12.98,9.45,9.39,7.74,9.82,10.67,12.36,12.96,8.73,9.74,9.85
Net Income Growth,-19.04%,-41.65%,0.07%,11.86%,49.67%,84.53%,79.88%,85.98%,32.24%,-11.40%,-24.04%,-40.29%,12.41%,9.59%,25.40%,-,-,-,-
Shares Outstanding (Basic),25,25,25,25,25,25,25,26,26,26,26,26,26,26,25,25,25,25,-
Shares Change,-1.26%,-0.61%,-0.20%,-0.71%,-0.82%,-0.81%,-0.68%,0.46%,0.57%,0.56%,1.46%,0.89%,0.89%,0.89%,-,-,-,-,-
EPS (Basic),0.63,0.40,0.66,0.63,0.76,0.68,0.66,0.56,0.51,0.37,0.37,0.30,0.38,0.42,0.51,0.54,0.36,0.40,0.41
EPS (Diluted),0.62,0.40,0.66,0.63,0.76,0.68,0.66,0.56,0.50,0.36,0.36,0.30,0.38,0.42,0.50,0.53,0.36,0.40,0.40
EPS Growth,-18.42%,-41.18%,0%,12.50%,52.00%,88.89%,83.33%,86.67%,31.58%,-14.29%,-28.00%,-43.40%,5.56%,5.00%,25.00%,-,-,-,-
Free Cash Flow Per Share,0.97,-0.39,-0.13,2.00,3.71,0.41,0.17,0.97,0.98,0.34,0.71,0.28,4.22,-3.11,3.66,3.39,-2.69,-5.66,-
Dividend Per Share,0.180,0.150,0.150,0.150,0.150,0.140,0.120,0.100,0.100,0.090,0.090,0.110,0.110,0.110,-,-,-,-,-
Dividend Growth,20.00%,7.14%,25.00%,50.00%,50.00%,55.56%,33.33%,-9.09%,-9.09%,-18.18%,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,66.89%,61.21%,65.33%,62.38%,68.12%,65.78%,62.69%,61.26%,61.92%,53.08%,54.79%,52.06%,56.85%,59.51%,62.34%,63.67%,54.74%,55.35%,56.11%
Profit Margin,48.78%,31.90%,46.17%,46.17%,50.85%,47.71%,48.04%,46.11%,46.16%,40.04%,41.80%,38.16%,41.74%,43.90%,45.80%,47.39%,39.27%,41.31%,41.51%
Free Cash Flow Margin,75.57%,-30.83%,-8.75%,146.21%,247.06%,28.69%,12.50%,80.11%,89.48%,37.40%,81.50%,35.23%,458.12%,-326.51%,343.66%,313.54%,-305.76%,-608.03%,-
Effective Tax Rate,27.07%,47.88%,29.33%,25.99%,25.35%,27.48%,23.37%,24.73%,25.45%,24.57%,23.72%,26.70%,26.58%,26.23%,26.53%,25.57%,28.27%,25.37%,26.02%
EBITDA,22.28,20.74,25.15,22.46,26.74,24.69,22.75,19.84,18.15,13.27,13.04,11.3,14.09,15.21,17.44,18.18,12.76,13.3,-
EBITDA Margin,69.07%,65.00%,68.74%,64.40%,69.98%,67.52%,64.74%,63.56%,64.52%,56.20%,58.06%,55.72%,59.89%,62.57%,64.64%,66.47%,57.37%,56.41%,-
Depreciation & Amortization,0.71,1.21,1.25,0.71,0.71,0.64,0.72,0.72,0.73,0.74,0.73,0.74,0.72,0.75,0.62,0.77,0.58,0.25,-
EBIT,21.57,19.53,23.9,21.75,26.03,24.05,22.03,19.12,17.41,12.53,12.3,10.56,13.37,14.46,16.82,17.41,12.17,13.05,13.32
EBIT Margin,66.89%,61.21%,65.33%,62.38%,68.12%,65.78%,62.69%,61.26%,61.92%,53.08%,54.79%,52.06%,56.85%,59.51%,62.34%,63.67%,54.74%,55.35%,56.11%
