Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",0.23,0.22,0.43,0.44,0.38,0.14,0.02,0.02
Operating Expenses,0.23,0.22,0.43,0.44,0.38,0.14,0.02,0.02
Operating Income,-0.23,-0.22,-0.43,-0.44,-0.38,-0.14,-0.02,-0.02
Other Expense / Income,-1.75,-2.79,-13.13,-12.86,9,-0.1,-,-
Pretax Income,1.52,2.57,12.7,12.42,-9.38,-0.04,-0.02,-0.02
Net Income,1.52,2.57,12.7,12.42,-9.38,-0.04,-0.02,-0.02
Shares Outstanding (Basic),35,35,35,35,19,20,6,1
Shares Outstanding (Diluted),35,35,35,35,19,20,6,1
Shares Change,78.07%,73.02%,475.00%,6800.00%,-,-,-,-
EPS (Basic),0.05,0.07,0.37,0.36,-0.48,-,-,-
EPS (Diluted),0.05,0.07,0.37,0.36,-0.48,-,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.01,-0.00,-0.01,-0.02,-,-
EBITDA,1.52,2.57,12.7,12.42,-9.38,-0.04,-0.02,-0.02
EBIT,1.52,2.57,12.7,12.42,-9.38,-0.04,-0.02,-0.02
