Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30
Revenue,245.69,262.71,304.91,330.06,289.54,262.24,246.17,204.38,105.84,75.5,71.04,40.36,131.19,188.49,204.9,190.81,174.42,181.52,184.65,176.98,151.67,156.46,154.03,139.57,124.48,130.52,114.56,103.44,152.29,135.52,116.28,96.92,81.23,68.12,56.06,48.23,38.72,33.5,27.42,20.84
Revenue Growth (YoY),-15.14%,0.18%,23.86%,61.49%,173.56%,247.36%,246.50%,406.42%,-19.32%,-59.95%,-65.33%,-78.85%,-24.79%,3.84%,10.97%,7.81%,15.00%,16.02%,19.88%,26.80%,21.84%,19.87%,34.46%,34.93%,-18.26%,-3.69%,-1.48%,6.73%,87.48%,98.94%,107.40%,100.97%,109.80%,103.36%,104.50%,131.42%,-,-,-,-
Cost of Revenue,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.2,28,24.93,28.27,25.71,25.43,25.59,22.65,23.85,21.32,21.27,20.45,18.3,16.33,20.93,19.2,17.7,16.73,14.71,12.2,11.19,10.17,8.57,7.4,6.93,5,3.41
Gross Profit,245.69,262.71,304.91,330.06,289.54,262.24,246.17,204.38,105.84,75.5,71.04,40.36,131.19,269.69,176.9,165.88,146.15,155.81,159.21,151.39,129.02,132.61,132.71,118.3,104.03,112.23,98.22,82.51,133.1,117.82,99.54,82.21,69.03,56.93,45.9,39.66,31.32,26.56,22.42,17.43
"Selling, General & Admin",104.5,127.61,136,152.81,142.71,134.16,130.57,113.19,90.87,66.64,67.25,76.57,121.44,205.45,135.74,133.65,123.5,129.66,131.05,126.63,109.83,108.82,106.5,108.08,98.16,112.2,103.84,103.19,104.61,88.78,76.3,67.75,60.88,27.12,52.85,48.21,38.62,8.18,19.79,15.64
Research & Development,0,0,0,0,0,0,0,0,0,0,0,0,0,-127.3,41.46,43.3,42.55,39.55,41.22,37.65,36.84,37.93,32.86,35.72,35.76,32.52,29.43,29.21,24.2,23.89,21.06,18.21,13.9,38.52,0,0,0,15.53,0,0
Other Operating Expenses,123.4,113.95,132.96,127.14,101,99.21,85.73,81.58,64.88,39.63,41.86,45.77,57.52,191.17,0,0,0,0,9.74,47.9,13.5,77.25,0,0,0,0,1.65,35.4,0,0,0,0,0,0,0,0,0,0,0,0
Operating Expenses,227.89,241.56,268.96,279.95,243.71,233.37,216.3,194.77,155.75,106.28,109.11,122.34,178.95,269.31,177.2,176.95,166.05,169.21,182,212.17,160.16,224,139.36,143.8,133.92,144.72,134.92,167.8,128.81,112.67,97.36,85.96,74.78,65.64,52.85,48.21,38.62,23.71,19.79,15.64
Operating Income,17.8,21.15,35.96,50.11,45.82,28.87,29.87,9.61,-49.91,-30.78,-38.07,-81.98,-47.77,0.37,-0.3,-11.07,-19.9,-13.39,-22.79,-60.79,-31.14,-91.39,-6.65,-25.5,-29.88,-32.49,-36.7,-85.3,4.29,5.15,2.18,-3.75,-5.75,-8.71,-6.95,-8.55,-7.3,2.86,2.63,1.78
Other Expense / Income,-,-,-,-,-,-,-,-,-,-3.8,-3.67,-3.51,-,-,-0.01,0.03,0.04,0.05,0.06,0.05,0,-0.09,-0.13,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pretax Income,17.8,21.15,35.96,50.11,45.82,28.87,29.87,9.61,-49.91,-26.98,-34.4,-78.47,-47.77,0.37,-0.29,-11.1,-19.94,-13.44,-22.84,-60.84,-31.14,-91.3,-6.52,-25.51,-29.88,-32.49,-36.7,-85.3,4.29,5.15,2.18,-3.75,-5.75,-8.71,-6.95,-8.55,-7.3,2.86,2.63,1.78
Income Tax,4.14,-2.44,-7.24,-131.95,4.99,-0.23,2.68,0.24,-2.82,-0.32,-0.07,0,0.32,0.14,0.1,-0.44,0,0.02,-0.04,0.02,0.04,0.71,0.01,-0.05,-0.04,-0.22,-0.21,-3.95,0.15,0.58,1.23,0.39,0.63,0.33,0.42,0.64,0,0,-0.09,0.09
Net Income,13.67,23.59,43.2,182.06,40.84,29.11,27.19,9.37,-47.08,-26.66,-34.33,-78.47,-48.09,0.23,-0.38,-10.66,-19.94,-13.46,-22.8,-60.86,-31.18,-92.01,-6.53,-25.45,-29.84,-32.27,-36.49,-81.35,4.14,4.57,0.95,-4.14,-6.37,-9.04,-7.37,-9.19,-7.3,2.86,2.71,1.7
Net Income Growth,-66.53%,-18.95%,58.90%,1842.80%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),107,106,104,103,101,100,99,98,93,81,74,70,87,89,88,87,86,86,85,84,84,83,83,81,80,79,78,77,76,76,75,75,74,15,12,12,11,11,11,10
Shares Outstanding (Diluted),107,104,106,105,105,119,106,102,93,81,74,70,87,89,88,87,86,86,85,84,84,83,83,81,80,79,78,77,78,76,80,75,74,15,12,12,11,18,17,15
