Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
"Selling, General & Admin",0.41,0.25,0.28,0.26,0
Operating Expenses,0.41,0.25,0.28,0.26,0
Operating Income,-0.41,-0.25,-0.28,-0.26,-0
Other Expense / Income,-1.16,-0.61,-0.19,-0.01,-
Pretax Income,0.75,0.36,-0.09,-0.25,-0
Income Tax,0.19,0.16,0.03,0,0
Net Income,0.56,0.21,-0.12,-0.25,-0
Shares Outstanding (Basic),17,17,3,11,3
Shares Outstanding (Diluted),17,17,3,11,3
Shares Change,501.95%,-,-,-,-
EPS (Basic),0.04,0.01,-0.01,-0.02,-
EPS (Diluted),0.04,0.01,-0.01,-0.02,-
Free Cash Flow Per Share,-0.02,-0.01,-0.04,-0.06,-0.00
Effective Tax Rate,25.09%,43.09%,-,-,-
EBITDA,0.75,0.36,-0.09,-0.25,-0
EBIT,0.75,0.36,-0.09,-0.25,-0
