Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30
Revenue,540.4,595,556.3,537.3,536,598.3,541.9,520.9,504.5,479.9,444.4,418.7,395.7,457.8,408.2,398.9
Revenue Growth (YoY),0.82%,-0.55%,2.66%,3.15%,6.24%,24.67%,21.94%,24.41%,27.50%,4.83%,8.87%,4.96%,-,-,-,-
Cost of Revenue,195.9,188.1,175,181.6,176.7,176.7,159.4,167.3,160.9,144.3,128.5,136.8,138.6,146.5,125,127.8
Gross Profit,344.5,406.9,381.3,355.7,359.3,421.6,382.5,353.6,343.6,335.6,315.9,281.9,257.1,311.3,283.2,271.1
"Selling, General & Admin",187,196.7,184.1,176.6,188.2,199.1,171.5,164.3,179.8,158.6,131.7,144.4,125.1,165.3,152.7,126
Other Operating Expenses,149.6,151.9,151.7,149.4,154.7,161.6,161.5,162.4,155.5,157.4,138.7,139.8,139.2,154.7,131.5,154.2
Operating Expenses,336.6,348.6,335.8,326,342.9,360.7,333,326.7,335.3,316,270.4,284.2,264.3,320,284.2,280.2
Operating Income,7.9,58.3,45.5,29.7,16.4,60.9,49.5,26.9,8.3,19.6,45.5,-2.3,-7.2,-8.7,-1,-9.1
Interest Expense / Income,55.3,55,49.1,41.9,47.2,61.2,48.3,48,48.9,49.3,60.8,78,83,82.9,85.6,86
Other Expense / Income,-1.9,-4.3,-7.4,-10.3,9.8,18.3,-12.6,-12.4,-5.8,-30.1,10.1,123.3,-89.9,174,-5.9,-10
Pretax Income,-45.5,7.6,3.8,-1.9,-40.6,-18.6,13.8,-8.7,-34.8,0.4,-25.4,-203.6,-0.3,-265.6,-80.7,-85.1
Income Tax,-11.8,-15.2,-4.2,-0.1,-9.3,-7,-2.8,43,-9.8,-1.4,-9.1,-27.7,-74.2,-34.2,-24,-23.1
Net Income,-33.7,22.8,8,-1.8,-31.3,-11.6,16.6,-51.7,-25,1.8,-16.3,-175.9,73.9,-231.4,-56.7,-62
Preferred Dividends,0,0,0,0,0,0,0,0,0,0,0,32.1,32,32,32.1,32
Net Income Common,-33.7,22.8,8,-1.8,-31.3,-11.6,16.6,-51.7,-25,1.8,-16.3,-208,41.9,-263.4,-88.8,-94
Net Income Growth,-,-,-51.81%,-,-,-,-,-,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),430,429,429,429,429,429,429,429,429,423,416,315,315,315,315,315
Shares Outstanding (Diluted),430,429,429,429,429,429,429,429,429,423,416,315,315,315,315,315
Shares Change,0.19%,0.16%,0.16%,0.05%,0.07%,1.37%,3.13%,36.38%,36.25%,34.47%,32.18%,-,-,-,-,-
EPS (Basic),-0.08,0.05,0.02,-,-0.07,-0.03,0.04,-0.12,-0.06,0.03,-0.04,-0.66,0.13,-0.83,-0.28,-0.30
EPS (Diluted),-0.08,0.05,0.02,-,-0.07,-0.03,0.04,-0.12,-0.06,0.03,-0.04,-0.66,0.13,-0.83,-0.28,-0.30
EPS Growth,-,-,-50.00%,-,-,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,0.26,0.08,0.39,0.06,0.21,0.10,0.16,0.03,0.29,0.11,-0.09,0.29,-0.05,0.13,-0.06,-
Dividend Per Share,-,0.050,0.050,-,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,63.75%,68.39%,68.54%,66.20%,67.03%,70.47%,70.58%,67.88%,68.11%,69.93%,71.08%,67.33%,64.97%,68.00%,69.38%,67.96%
Operating Margin,1.46%,9.80%,8.18%,5.53%,3.06%,10.18%,9.13%,5.16%,1.65%,4.08%,10.24%,-0.55%,-1.82%,-1.90%,-0.24%,-2.28%
Profit Margin,-6.24%,3.83%,1.44%,-0.34%,-5.84%,-1.94%,3.06%,-9.93%,-4.96%,0.38%,-3.67%,-49.68%,10.59%,-57.54%,-21.75%,-23.56%
Free Cash Flow Margin,20.32%,5.48%,30.43%,4.88%,17.00%,7.12%,12.70%,2.05%,24.70%,9.42%,-8.62%,21.57%,-3.71%,8.93%,-4.61%,-
Effective Tax Rate,-,-200.00%,-110.53%,-,-,-,-20.29%,-,-,-350.00%,-,-,-,-,-,-
EBITDA,155.2,208.3,198,187,156,199.8,218.8,191.6,163.8,186.1,169.7,7.1,217.1,-36.2,128.2,-
EBITDA Margin,28.72%,35.01%,35.59%,34.80%,29.10%,33.39%,40.38%,36.78%,32.47%,38.78%,38.19%,1.70%,54.86%,-7.91%,31.41%,-
Depreciation & Amortization,145.4,145.7,145.1,147,149.4,157.2,156.7,152.3,149.7,136.4,134.3,132.7,134.4,146.5,123.3,-
EBIT,9.8,62.6,52.9,40,6.6,42.6,62.1,39.3,14.1,49.7,35.4,-125.6,82.7,-182.7,4.9,0.9
EBIT Margin,1.81%,10.52%,9.51%,7.44%,1.23%,7.12%,11.46%,7.54%,2.79%,10.36%,7.97%,-30.00%,20.90%,-39.91%,1.20%,0.23%
