Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.3,0.22,0.58,0.3,-,0.01,0
Operating Expenses,0.3,0.22,0.58,0.3,-,0.01,0
Operating Income,-0.3,-0.22,-0.58,-0.3,-,-0.01,-0
Interest Expense / Income,0,0,0,0,-,0,0
Other Expense / Income,-0.99,-0.53,-0.16,-0.01,-,-,-
Pretax Income,0.69,0.31,-0.43,-0.29,-,-0.01,-0
Income Tax,0.25,0.15,0.01,0,-,0,0
Net Income,0.44,0.16,-0.44,-0.29,-,-0.01,-0
Shares Outstanding (Basic),3,3,3,3,3,3,3
Shares Outstanding (Diluted),3,3,3,3,-,3,3
Shares Change,14.40%,15.00%,15.00%,-,-,-,-
EPS (Basic),0.03,0.01,-0.03,-0.02,-,-,-
EPS (Diluted),0.03,0.01,-0.03,-0.02,-,-,-
Free Cash Flow Per Share,-0.09,-0.11,-0.24,-0.20,0.02,-0.00,-
Effective Tax Rate,36.28%,47.33%,-,-,-,-,-
EBITDA,0.69,0.31,-0.43,-0.29,-,-0.01,-0
EBIT,0.69,0.31,-0.43,-0.29,-,-0.01,-0
