Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-05-03
"Selling, General & Admin",0.39,0.37,0.34,0.34,0.42,0.27,0.97,0.04,0.01
Operating Expenses,0.39,0.37,0.34,0.34,0.42,0.27,0.97,0.04,0.01
Operating Income,-0.39,-0.37,-0.34,-0.34,-0.42,-0.27,-0.97,-0.04,-0.01
Other Expense / Income,-1.54,-3.2,-1.52,-3.34,-3.64,-6.75,-3.65,-,-
Pretax Income,1.15,2.83,1.18,2.99,3.22,6.48,2.68,-0.04,-0.01
Net Income,1.15,2.83,1.18,2.99,3.22,6.48,2.68,-0.04,-0.01
Net Income Growth,-64.25%,-56.33%,-55.87%,-,-,-,-,-,-
Shares Outstanding (Basic),31,31,31,31,31,24,25,15,1
Shares Outstanding (Diluted),31,31,31,31,31,24,25,15,1
Shares Change,-,29.19%,23.34%,111.86%,3337.50%,-,-,-,-
EPS (Basic),0.04,0.09,0.04,0.10,0.10,0.24,0.17,-,-0.01
EPS (Diluted),0.04,0.09,0.04,0.10,0.10,0.24,0.17,-,-0.01
EPS Growth,-60.00%,-62.50%,-76.47%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.01,-0.01,-0.08,0.01,-,-
EBITDA,1.15,2.83,1.18,2.99,3.22,6.48,2.68,-0.04,-0.01
EBIT,1.15,2.83,1.18,2.99,3.22,6.48,2.68,-0.04,-0.01
