Metrics,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-12
"Selling, General & Admin",0.34,0.43,0.41,0.4,0.27,0.73,0.13,0
Operating Expenses,0.34,0.43,0.41,0.4,0.27,0.73,0.13,0
Operating Income,-0.34,-0.43,-0.41,-0.4,-0.27,-0.73,-0.13,-0
Other Expense / Income,-3.24,-3.02,-9.57,-1.84,-7.4,1.66,-6.91,-
Pretax Income,2.9,2.59,9.17,1.44,7.13,-2.38,6.78,-0
Income Tax,0.44,0.1,0.01,0,0,0,0,0
Net Income,2.46,2.49,9.16,1.44,7.13,-2.38,6.78,-0
Net Income Growth,-65.47%,-,35.11%,-,-,-,-,-
Shares Outstanding (Basic),63,63,63,63,63,63,27,9
Shares Outstanding (Diluted),63,63,63,63,63,63,27,9
Shares Change,-,-,127.85%,595.29%,-,-,-,-
EPS (Basic),0.04,0.04,0.15,0.02,0.11,-0.04,0.25,-
EPS (Diluted),0.04,0.04,0.15,0.02,0.11,-0.04,0.25,-
EPS Growth,-63.64%,-,-40.00%,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.00,-0.00,-0.01,-0.04,-
Effective Tax Rate,15.12%,3.77%,0.08%,0.05%,-,-,-,-
EBITDA,2.9,2.59,9.17,1.44,7.13,-2.38,6.78,-0
EBIT,2.9,2.59,9.17,1.44,7.13,-2.38,6.78,-0
