Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",0.43,0.36,0.33,0.44,0.85,1.62,0.45,0.94,0
Operating Expenses,0.43,0.36,0.33,0.44,0.85,1.62,0.45,0.94,0
Operating Income,-0.43,-0.36,-0.33,-0.44,-0.85,-1.62,-0.45,-0.94,-0
Other Expense / Income,-3.15,-1.47,-4.84,-6.36,-0.91,-6.57,1.35,-2.57,-
Pretax Income,2.73,1.11,4.51,5.92,0.07,4.95,-1.81,1.63,-0
Income Tax,0.48,0.24,0.02,0,0,0,0,0,0
Net Income,2.24,0.87,4.49,5.92,0.07,4.95,-1.81,1.63,-0
Net Income Growth,3264.30%,-82.43%,-,263.16%,-,-,-,-,-
Shares Outstanding (Basic),36,36,36,36,36,36,36,15,6
Shares Outstanding (Diluted),36,36,36,36,37,36,36,15,6
Shares Change,-2.76%,-,-,137.11%,491.30%,-,-,-,-
EPS (Basic),0.07,0.02,0.12,0.16,-,0.14,-0.05,0.10,-
EPS (Diluted),0.07,0.02,0.12,0.16,-,0.14,-0.05,0.10,-
EPS Growth,-,-85.71%,-,60.00%,-,-,-,-,-
Free Cash Flow Per Share,-0.02,-0.01,-0.01,-0.01,-0.02,-0.01,-0.01,-0.07,-
Effective Tax Rate,17.78%,21.90%,0.48%,-,-,-,-,-,-
EBITDA,2.73,1.11,4.51,5.92,0.07,4.95,-1.81,1.63,-0
EBIT,2.73,1.11,4.51,5.92,0.07,4.95,-1.81,1.63,-0
