Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.52,-0.03,0.49,0.62,0.49,0.38,-0,-0
Operating Expenses,0.52,-0.03,0.49,0.62,0.49,0.38,-0,-0
Operating Income,-0.52,0.03,-0.49,-0.62,-0.49,-0.38,0,0
Other Expense / Income,-3.03,-2.9,-0.76,-0.37,-0.03,-0,0,0
Pretax Income,2.5,2.93,0.27,-0.25,-0.47,-0.38,-0,-0
Income Tax,0.63,0.6,0.15,0.03,0,0,0,0
Net Income,1.88,2.34,0.12,-0.28,-0.47,-0.38,-0,-0
Shares Outstanding (Basic),35,35,35,35,35,9,5,5
Shares Outstanding (Diluted),35,35,35,35,35,9,5,5
Shares Change,-,287.56%,590.00%,590.00%,-,-,-,-
EPS (Basic),0.05,0.07,-,-0.01,-0.01,-0.04,-,-
EPS (Diluted),0.05,0.07,-,-0.01,-0.01,-0.04,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.01,-0.01,-0.12,-0.02,-
Effective Tax Rate,24.97%,20.36%,54.83%,-,-,-,-,-
EBITDA,2.5,2.93,0.27,-0.25,-0.47,-0.38,-0,-0
EBIT,2.5,2.93,0.27,-0.25,-0.47,-0.38,-0,-0
