Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30
"Selling, General & Admin",0.29,0.22,0.27,0.31,0.26,0.27,0.42,0.2,0.1,0.13,0.03
Operating Expenses,0.29,0.22,0.27,0.31,0.26,0.27,0.42,0.2,0.1,0.13,0.03
Operating Income,-0.29,-0.22,-0.27,-0.31,-0.26,-0.27,-0.42,-0.2,-0.1,-0.13,-0.03
Other Expense / Income,-0.51,-0.91,-0.88,0.1,-0.03,-0.01,-0.04,0.01,-,-,-
Pretax Income,0.22,0.69,0.61,-0.4,-0.23,-0.26,-0.38,-0.21,-0.1,-0.13,-0.03
Net Income,0.22,0.69,0.61,-0.4,-0.23,-0.26,-0.38,-0.21,-0.1,-0.13,-0.03
Shares Outstanding (Basic),7,8,8,8,8,8,3,7,1,1,1
Shares Outstanding (Diluted),7,8,8,8,8,8,3,7,1,1,1
Shares Change,-5.75%,-,122.61%,5.51%,426.35%,426.35%,171.91%,-,-,-,-
EPS (Basic),-0.03,-0.02,-,-0.13,-0.03,-0.03,-0.87,-0.65,-0.07,-0.09,-0.03
EPS (Diluted),-0.03,-0.02,-,-0.13,-0.03,-0.03,-0.87,-0.65,-0.07,-0.09,-0.03
Free Cash Flow Per Share,-0.03,-0.02,-0.01,-0.04,-0.03,-0.01,-0.14,-0.02,-0.07,-0.14,-
EBITDA,0.22,0.69,0.61,-0.4,-0.23,-0.26,-0.38,-0.21,-0.1,-0.13,-
EBIT,0.22,0.69,0.61,-0.4,-0.23,-0.26,-0.38,-0.21,-0.1,-0.13,-0.03
