Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Revenue,21.81,20.54,19.44,16.91,15.56,15.2,14.4,16.63,14.6,17.88,14.11,6.47,11.36,11.01,11.25,10.48,9.95,9.89,8.05,6.7,6.65,-
Revenue Growth (YoY),40.18%,35.17%,35.04%,1.68%,6.56%,-15.00%,2.06%,157.01%,28.48%,62.41%,25.45%,-38.25%,14.22%,11.32%,39.71%,56.45%,49.65%,-,-,-,-,-
Gross Profit,21.81,20.54,19.44,16.91,15.56,15.2,14.4,16.63,14.6,17.88,14.11,6.47,11.36,11.01,11.25,10.48,9.95,9.89,8.05,6.7,6.65,-
"Selling, General & Admin",9.62,10,7.99,7.38,7.16,8.03,6.6,6.09,6.02,7.4,5.83,5.44,5.57,6.42,4.98,4.87,4.73,5.12,4.05,3.72,3.56,-
Other Operating Expenses,2.09,0.71,1.9,2.11,1.8,0.69,1.86,1.78,1.79,0.71,1.8,1.92,1.57,0.28,1.51,1.31,1.28,0.25,1.11,1.15,1.02,0
Operating Expenses,11.7,10.71,9.89,9.49,8.96,8.72,8.46,7.87,7.81,8.12,7.64,7.36,7.14,6.7,6.49,6.18,6.01,5.37,5.16,4.87,4.58,-
Operating Income,10.11,9.83,9.55,7.41,6.6,6.47,5.94,8.75,6.79,9.76,6.47,-0.89,4.22,4.31,4.76,4.3,3.94,4.51,2.89,1.83,2.07,-
Pretax Income,10.11,9.83,9.55,7.41,6.6,6.47,5.94,8.75,6.79,9.76,6.47,-0.89,4.22,4.31,4.76,4.3,3.94,4.51,2.89,1.83,2.07,-
Income Tax,1.96,2.25,1.81,1.48,1.17,1.66,1.16,1.63,1.34,2.05,1.3,-0.26,0.75,0.74,1.05,0.87,0.69,0.85,0.54,0.32,0.39,-
Net Income,8.15,7.58,7.74,5.93,5.42,4.81,4.78,7.13,5.45,7.71,5.17,-0.63,3.47,3.56,3.71,3.43,3.25,3.67,2.35,1.5,1.69,-
Preferred Dividends,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.64,0,0,0,0,0,0,0,0,0,0,0,-
Net Income Common,7.61,7.04,7.2,5.39,4.88,4.27,4.24,6.59,4.91,7.07,5.17,-0.63,3.47,3.56,3.71,3.43,3.25,3.67,2.35,1.5,1.69,-
Net Income Growth,55.86%,64.72%,69.75%,-18.16%,-0.55%,-39.58%,-17.94%,-,41.53%,98.54%,39.44%,-,6.87%,-2.86%,57.70%,128.28%,92.59%,-,-,-,-,-
Shares Outstanding (Basic),8,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,-,-,-,5
Shares Change,-1.67%,-2.10%,-1.79%,0.19%,1.38%,0.89%,-8.67%,-8.69%,-9.32%,-8.86%,0.21%,0.12%,1.72%,24.16%,-,-,-,39.22%,-,-,-,-
EPS (Basic),1.01,0.95,0.97,0.71,0.64,0.56,0.56,0.87,0.65,0.88,0.63,-0.08,0.42,0.43,0.45,0.42,0.39,0.48,0.35,0.26,0.29,-
EPS (Diluted),1.01,0.95,0.97,0.71,0.64,0.56,0.56,0.87,0.65,0.88,0.63,-0.08,0.42,0.43,0.45,0.42,0.39,0.48,0.35,0.26,0.29,-
EPS Growth,57.81%,69.64%,73.21%,-18.39%,-1.54%,-36.36%,-11.11%,-,54.76%,104.65%,40.00%,-,7.69%,-10.42%,28.57%,61.54%,34.48%,-,-,-,-,-
Free Cash Flow Per Share,0.97,1.11,0.88,0.71,0.73,0.29,0.67,0.65,1.68,0.68,0.83,-0.12,0.58,0.54,0.61,0.23,0.53,0.71,-,-,-,-
Dividend Per Share,0.100,0.100,0.050,0.050,0.050,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dividend Growth,100.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-
Operating Margin,46.34%,47.87%,49.12%,43.84%,42.39%,42.61%,41.24%,52.65%,46.52%,54.59%,45.86%,-13.77%,37.14%,39.11%,42.30%,41.04%,39.61%,45.65%,35.91%,27.28%,31.15%,-
Profit Margin,34.90%,34.28%,37.05%,31.89%,31.39%,28.13%,29.47%,39.62%,33.63%,39.57%,36.66%,-9.80%,30.54%,32.37%,32.98%,32.75%,32.64%,37.10%,29.22%,22.45%,25.36%,-
Free Cash Flow Margin,33.62%,40.27%,33.49%,31.80%,36.02%,14.72%,35.29%,29.50%,86.84%,28.57%,48.69%,-15.35%,42.27%,40.57%,45.04%,18.49%,43.32%,47.88%,46.61%,9.41%,32.05%,-
Effective Tax Rate,19.36%,22.91%,18.93%,19.98%,17.78%,25.66%,19.45%,18.59%,19.76%,21.01%,20.07%,-,17.79%,17.24%,22.05%,20.19%,17.61%,18.74%,18.64%,17.73%,18.59%,-
