Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Revenue,4.19,4.27,4.24,4.19,3.71,3.24,3.28,3.25,3.27,3.2,3.22,3.1,3.08
Revenue Growth (YoY),12.96%,31.60%,29.55%,28.98%,13.56%,1.19%,1.87%,4.94%,5.93%,-,-,-,-
Gross Profit,4.19,4.27,4.24,4.19,3.71,3.24,3.28,3.25,3.27,3.2,3.22,3.1,3.08
"Selling, General & Admin",2.43,2.75,2.55,2.23,2.05,2.14,2.08,1.9,1.99,1.57,1.85,1.65,1.83
Other Operating Expenses,0.4,0.45,0.41,0.34,0.35,0.41,1.89,0.28,0.28,0.28,0.44,0.23,0.25
Operating Expenses,2.83,3.21,2.96,2.57,2.4,2.55,3.96,2.18,2.27,1.85,2.29,1.88,2.08
Operating Income,1.36,1.06,1.28,1.63,1.31,0.69,-0.69,1.07,1,1.35,0.93,1.22,1
Other Expense / Income,-,-0,-,-,0,-0.02,-,-,-,-,-,-,-
Pretax Income,1.36,1.06,1.28,1.63,1.31,0.71,-0.69,1.07,1,1.35,0.93,1.22,1
Income Tax,0.34,0.13,0.36,0.32,0.3,0.09,-0.19,0.22,0.22,0.28,0.2,0.27,0.21
Net Income,1.02,0.94,0.93,1.31,1.01,0.62,-0.5,0.85,0.79,1.07,0.73,0.95,0.8
Net Income Growth,0.50%,51.05%,-,54.90%,28.66%,-42.20%,-,-10.47%,-1.63%,-,-,-,-
Shares Outstanding (Basic),7,7,7,7,7,7,7,3,3,3,-,-,-
Shares Change,-0.30%,-,-,127.18%,127.18%,127.18%,-,-,-,-,-,-,-
EPS (Basic),0.15,0.13,0.13,0.19,0.15,0.07,-0.06,0.13,0.12,0.15,0.11,0.40,0.34
EPS (Diluted),0.15,0.14,0.13,0.19,0.14,0.07,-0.06,0.12,0.11,0.15,0.11,0.40,0.34
EPS Growth,7.14%,100.00%,-,58.33%,27.27%,-53.33%,-,-70.00%,-67.65%,-,-,-,-
Free Cash Flow Per Share,0.19,-0.03,0.23,0.25,0.09,0.09,0.30,0.12,0.19,0.45,-,-,-
Dividend Per Share,-,-,-,-,0.120,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,32.38%,24.83%,30.25%,38.80%,35.42%,21.32%,-20.94%,32.85%,30.64%,42.27%,28.92%,39.22%,32.56%
Profit Margin,24.22%,21.92%,21.82%,31.29%,27.22%,19.10%,-15.29%,26.05%,24.03%,33.44%,22.73%,30.54%,25.88%
Free Cash Flow Margin,34.05%,-5.58%,41.09%,43.55%,18.68%,21.57%,67.80%,11.87%,18.82%,45.89%,-11.88%,33.89%,28.40%
Effective Tax Rate,25.20%,12.04%,27.88%,19.36%,22.90%,12.94%,-,20.69%,21.58%,20.90%,21.40%,22.14%,20.52%
EBITDA,1.47,1.1,1.36,1.73,1.43,0.84,-0.55,1.15,1.14,1.59,1.06,1.34,1.1
EBITDA Margin,35.15%,25.72%,31.97%,41.28%,38.65%,25.83%,-16.85%,35.22%,34.80%,49.48%,32.84%,43.12%,35.77%
Depreciation & Amortization,0.12,0.03,0.07,0.1,0.12,0.13,0.13,0.08,0.14,0.23,0.13,0.12,0.1
EBIT,1.36,1.06,1.28,1.63,1.31,0.71,-0.69,1.07,1,1.35,0.93,1.22,1
EBIT Margin,32.38%,24.92%,30.25%,38.80%,35.31%,21.94%,-20.94%,32.85%,30.64%,42.27%,28.92%,39.22%,32.56%
