Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Revenue,457.6,435.02,412,491.29,386.89,378.54,352.77,390.01,311.46,326.95,236.81,246.32,208.19
Revenue Growth (YoY),18.28%,14.92%,16.79%,25.97%,24.22%,15.78%,48.97%,58.33%,49.60%,-,-,-,-
Gross Profit,457.6,435.02,412,491.29,386.89,378.54,352.77,390.01,311.46,326.95,236.81,246.32,208.19
"Selling, General & Admin",359.42,327.66,323.1,358.55,316.64,295.76,325.29,267.49,242.03,250.69,194.35,178.68,169.82
Other Operating Expenses,27.38,26.83,27.13,27.46,27.87,26.99,28.16,28.54,28.99,30.05,16.67,9.97,10.81
Operating Expenses,386.8,354.49,350.23,386.02,344.51,322.75,353.45,296.03,271.03,280.74,211.02,188.65,180.63
Operating Income,70.8,80.53,61.77,105.28,42.38,55.78,-0.69,93.99,40.43,46.21,25.79,57.68,27.56
Interest Expense / Income,29.47,29.37,28.86,24.85,21.75,19.13,21.19,18.99,20.05,20.95,10.86,6.76,8.68
Other Expense / Income,21.88,27.41,17.75,44.76,18.22,20.87,-15.18,9.26,24.41,26.76,1.8,-0.61,4.99
Pretax Income,19.46,23.75,15.16,35.67,2.41,15.79,-6.7,65.74,-4.02,-1.5,13.13,51.53,13.9
Income Tax,6.3,5.86,3.41,11.17,-4.5,5.73,-5.37,2.33,2.23,2.87,2.92,1.59,1.58
Net Income,13.16,17.9,11.75,24.5,6.91,10.05,-1.33,63.41,-6.25,-4.37,10.21,49.94,12.32
Net Income Growth,90.42%,78.04%,-,-61.36%,-,-,-,26.96%,-,-,-,-,-
Shares Outstanding (Basic),111,110,109,108,107,107,105,256,256,256,-,-,-
Shares Outstanding (Diluted),267,268,266,120,264,107,105,-,-,-,-,-,-
Shares Change,1.08%,150.29%,152.92%,-52.98%,3.31%,-58.15%,-,-,-,-,-,-,-
EPS (Basic),0.12,0.17,0.11,0.23,0.07,0.09,-0.16,-,-,-,-,-,-
EPS (Diluted),0.11,0.15,0.09,0.22,0.06,0.09,-0.16,-,-,-,-,-,-
EPS Growth,83.33%,66.67%,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-1.46,1.65,-0.17,2.09,-0.64,1.08,0.42,0.71,-0.30,0.51,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,15.47%,18.51%,14.99%,21.43%,10.95%,14.74%,-0.19%,24.10%,12.98%,14.13%,10.89%,23.41%,13.24%
Profit Margin,2.88%,4.11%,2.85%,4.99%,1.79%,2.66%,-0.38%,16.26%,-2.01%,-1.34%,4.31%,20.27%,5.92%
Free Cash Flow Margin,-35.40%,41.73%,-4.60%,45.92%,-17.50%,30.58%,12.52%,46.35%,-24.73%,40.14%,-29.06%,39.71%,-17.93%
Effective Tax Rate,32.36%,24.67%,22.51%,31.31%,-187.00%,36.33%,-,3.55%,-,-,22.26%,3.08%,11.35%
EBITDA,76.3,79.95,71.15,87.98,52.03,61.9,42.65,113.27,45.02,49.5,40.66,68.25,33.38
EBITDA Margin,16.67%,18.38%,17.27%,17.91%,13.45%,16.35%,12.09%,29.04%,14.46%,15.14%,17.17%,27.71%,16.03%
Depreciation & Amortization,27.38,26.83,27.13,27.46,27.87,26.99,28.16,28.54,28.99,30.05,16.67,9.97,10.81
EBIT,48.92,53.12,44.02,60.52,24.16,34.92,14.49,84.73,16.03,19.45,23.99,58.29,22.57
EBIT Margin,10.69%,12.21%,10.68%,12.32%,6.24%,9.22%,4.11%,21.72%,5.15%,5.95%,10.13%,23.66%,10.84%
