Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-10-13
"Selling, General & Admin",0.38,0.34,0.28,0.29,0.25,0
Operating Expenses,0.38,0.34,0.28,0.29,0.25,0
Operating Income,-0.38,-0.34,-0.28,-0.29,-0.25,-0
Other Expense / Income,-1.75,-0.83,-0.2,-0.06,-0.02,-
Pretax Income,1.38,0.49,-0.08,-0.23,-0.24,-0
Income Tax,0.36,0.16,0.02,0,0,0
Net Income,1.02,0.33,-0.1,-0.23,-0.24,-0
Shares Outstanding (Basic),27,27,27,27,9,4
Shares Outstanding (Diluted),27,27,27,27,9,4
Shares Change,192.40%,588.49%,-,-,-,-
EPS (Basic),0.04,0.01,-,-0.01,-0.03,-
EPS (Diluted),0.04,0.01,-,-0.01,-0.03,-
Free Cash Flow Per Share,-0.02,-0.00,-0.01,-0.03,-0.00,-
Effective Tax Rate,26.08%,33.43%,-,-,-,-
EBITDA,1.38,0.49,-0.08,-0.23,-0.24,-0
EBIT,1.38,0.49,-0.08,-0.23,-0.24,-0
