Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30
"Selling, General & Admin",0.11,0.48,0.14,0.47,0.41,0.15,0.03,0.08,0.1,0.05,0,0,0,0
Operating Expenses,0.11,0.48,0.14,0.47,0.41,0.15,0.03,0.08,0.1,0.05,0,0,0,0
Operating Income,-0.11,-0.48,-0.14,-0.47,-0.41,-0.15,-0.03,-0.08,-0.1,-0.05,-0,-0,-0,-0
Other Expense / Income,-0.21,0.1,-0.11,-0.01,0.02,-0.03,-0.01,-0.06,0.18,-0.01,-0,-,-,-
Pretax Income,0.11,-0.58,-0.04,-0.46,-0.43,-0.12,-0.02,-0.02,-0.28,-0.04,0,-0,-0,-0
Net Income,0.11,-0.58,-0.04,-0.46,-0.43,-0.12,-0.02,-0.02,-0.28,-0.04,0,-0,-0,-0
Shares Outstanding (Basic),5,5,5,6,6,6,6,6,4,6,1,1,1,1
Shares Outstanding (Diluted),5,5,5,6,6,6,6,6,4,6,1,1,1,1
Shares Change,-24.13%,-25.72%,-10.37%,-1.15%,65.28%,-,347.77%,431.39%,557.01%,511.10%,-,-,-,-
EPS (Basic),-0.01,-0.13,-0.01,-0.08,-0.07,-0.02,-,-,-0.08,-0.01,-,-,0.04,-
EPS (Diluted),-0.01,-0.13,-0.01,-0.08,-0.07,-0.02,-,-,-0.08,-0.01,-,-,0.04,-
Free Cash Flow Per Share,-0.02,-0.03,-0.04,-0.12,-0.04,-0.02,-,-0.01,-0.04,0.00,-,-,-,-
EBITDA,0.11,-0.58,-0.04,-0.46,-0.43,-0.12,-0.02,-0.02,-0.28,-0.04,0,-0,-,-0
EBIT,0.11,-0.58,-0.04,-0.46,-0.43,-0.12,-0.02,-0.02,-0.28,-0.04,0,-0,-0,-0
