Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.68,0.25,0.12,0.46,0.02,0,0
Other Operating Expenses,0.2,0,0,0,0,0,0
Operating Expenses,0.87,0.25,0.12,0.46,0.02,0,0
Operating Income,-0.87,-0.25,-0.12,-0.46,-0.02,0,0
Other Expense / Income,-0.93,-0.48,-0.11,-0.04,-,-,-
Pretax Income,0.05,0.23,-0.01,-0.42,-0.02,0,0
Income Tax,0.29,0,0,0,0,0,0
Net Income,-0.23,0.23,-0.01,-0.42,-0.02,0,0
Shares Outstanding (Basic),13,13,13,12,3,3,3
Shares Outstanding (Diluted),13,13,13,12,3,3,3
Shares Change,420.01%,439.41%,439.41%,-,-,-,-
EPS (Basic),-0.01,0.02,-,-0.04,-0.01,-,-
EPS (Diluted),-0.01,0.02,-,-0.04,-0.01,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.00,-0.05,-,0.01,-0.01
Effective Tax Rate,524.23%,-,-,-,-,-,-
EBITDA,0.05,0.23,-0.01,-0.42,-,0,0
EBIT,0.05,0.23,-0.01,-0.42,-0.02,0,0
