Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",0.15,0.16,0.11,0.19,0.24,0.82,0.25,0.08,0.01
Operating Expenses,0.15,0.16,0.11,0.19,0.24,0.82,0.25,0.08,0.01
Operating Income,-0.15,-0.16,-0.11,-0.19,-0.24,-0.82,-0.25,-0.08,-0.01
Other Expense / Income,-2.57,-1.34,-1.16,-4.27,-3.25,-1.82,-0.17,0.71,-
Pretax Income,2.42,1.17,1.05,4.08,3.01,1,-0.08,-0.79,-0.01
Net Income,2.42,1.17,1.05,4.08,3.01,1,-0.08,-0.79,-0.01
Net Income Growth,-19.71%,17.66%,-,-,-,-,-,-,-
Shares Outstanding (Basic),29,29,29,29,29,29,29,16,6
Shares Outstanding (Diluted),29,29,29,29,29,29,29,16,6
Shares Change,-0.12%,-,-,88.37%,432.47%,-,-,-,-
EPS (Basic),0.08,0.04,0.04,0.14,0.11,0.03,-,-0.05,-
EPS (Diluted),0.08,0.04,0.04,0.14,0.11,0.03,-,-0.05,-
EPS Growth,-27.27%,33.33%,-,-,-,-,-,-,-
Free Cash Flow Per Share,-,-0.00,-0.01,-0.00,-0.03,-0.01,-0.00,-0.02,-
EBITDA,2.42,1.17,1.05,4.08,3.01,1,-0.08,-0.79,-0.01
EBIT,2.42,1.17,1.05,4.08,3.01,1,-0.08,-0.79,-0.01
