Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-24
"Selling, General & Admin",0.57,1.37,0.79,0.33,0.35,0.25,0,0
Other Operating Expenses,0.02,-0.09,0.05,0.05,0.05,0.08,0,0
Operating Expenses,0.59,1.29,0.84,0.38,0.4,0.33,0,0
Operating Income,-0.59,-1.29,-0.84,-0.38,-0.4,-0.33,0,-0
Other Expense / Income,-0.11,-1.56,-0.98,-0.27,-0.03,0,-,-
Pretax Income,-0.48,0.28,0.14,-0.11,-0.38,-0.33,0,-0
Income Tax,0,0.54,0.06,0,0,-0.02,0,0
Net Income,-0.48,-0.26,0.08,-0.11,-0.38,-0.32,0,-0
Shares Outstanding (Basic),7,21,23,23,23,10,5,4
Shares Outstanding (Diluted),7,21,23,23,23,10,5,4
Shares Change,-70.54%,117.93%,391.14%,462.40%,-,-,-,-
EPS (Basic),-0.07,-0.01,-,-,-0.02,4.15,-,-
EPS (Diluted),-0.07,-0.01,-,-,-0.02,4.15,-,-
Free Cash Flow Per Share,-0.03,-0.02,-0.01,-0.01,-0.01,-,-,-
Effective Tax Rate,-,195.16%,41.71%,-,-,-,-,-
EBITDA,-0.48,0.28,0.14,-0.11,-0.38,-,-,-0
EBIT,-0.48,0.28,0.14,-0.11,-0.38,-0.33,0,-0
