Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.31,0.18,0.2,0.27,0.38,0.02,0.26
Operating Expenses,0.31,0.18,0.2,0.27,0.38,0.02,0.26
Operating Income,-0.31,-0.18,-0.2,-0.27,-0.38,-0.02,-0.26
Other Expense / Income,-1.09,-0.59,-0.17,-0.01,-0,-,-
Pretax Income,0.78,0.4,-0.03,-0.26,-0.38,-0.02,-0.26
Net Income,0.78,0.4,-0.03,-0.26,-0.38,-0.02,-0.26
Shares Outstanding (Basic),16,16,16,16,6,3,2
Shares Outstanding (Diluted),16,16,16,16,6,3,2
Shares Change,174.09%,400.00%,665.96%,-,-,-,-
EPS (Basic),-0.02,-0.01,-0.01,-0.02,-0.89,-0.01,-0.13
EPS (Diluted),-0.02,-0.01,-0.01,-0.02,-0.89,-0.01,-0.13
Free Cash Flow Per Share,0.06,0.03,-0.00,-0.01,-0.15,-0.01,-0.07
EBITDA,0.78,0.4,-0.03,-0.26,-0.38,-0.02,-0.26
EBIT,0.78,0.4,-0.03,-0.26,-0.38,-0.02,-0.26
