Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-03-31
Revenue,1.74,2.24,2.34,-3.34,1.66,1.11,0.38,-1.99,1.64,1.39,1.15,2.01,2.75,5.89,5.01,2.43,0.12,0.07,0.13,0.16,0.15,0.12,0.07,-,-
Revenue Growth (YoY),4.87%,101.24%,518.29%,-,1.32%,-19.90%,-66.98%,-,-40.32%,-76.38%,-77.12%,-17.28%,2212.34%,8130.25%,3909.22%,1425.96%,-22.16%,-38.97%,90.03%,-,-,-,-,-,-
Cost of Revenue,1.56,1.93,1.88,-2.83,1.46,1.55,2.3,-1.6,1.79,0.99,0.8,1.65,1.9,4.71,4.02,1.81,0,0,0,0,0,0,0,-,-
Gross Profit,0.18,0.31,0.46,-0.51,0.2,-0.44,-1.92,-0.38,-0.16,0.4,0.35,0.36,0.84,1.18,0.99,0.62,0.12,0.07,0.13,0.16,0.15,0.12,0.07,-,-
"Selling, General & Admin",1.39,1.53,1.92,-0.9,2.7,1.83,2.65,-1.21,2.4,2.75,1.96,2.24,1.24,1.14,0.88,0.75,0.53,0.78,0.97,0.56,0.29,0.38,0.29,-,-
Other Operating Expenses,0.13,0.37,-0.02,0.18,0.01,0.05,0.21,0.3,-0.15,0.03,0.13,3.25,0.1,0.12,0.01,0.01,0,0.09,0.09,8.35,0.17,0.16,0.16,0,0
Operating Expenses,1.51,1.89,1.9,-0.72,2.71,1.88,2.86,-0.91,2.26,2.78,2.09,5.49,1.34,1.25,0.89,0.75,0.53,0.87,1.06,8.91,0.45,0.54,0.45,-,-
Operating Income,-1.33,-1.59,-1.44,0.22,-2.51,-2.31,-4.78,0.53,-2.41,-2.39,-1.74,-5.12,-0.5,-0.08,0.1,-0.13,-0.41,-0.8,-0.93,-8.75,-0.3,-0.43,-0.39,-,-
Interest Expense / Income,0.01,0,0.01,-0.3,0.01,0.02,0.02,-0.58,0.15,0.23,0.25,0.39,0.02,0.03,0.04,0.03,0.01,0,0,0,0,0,0,-,-
Other Expense / Income,-0.37,-0.5,-1.78,-4.62,-2.68,-2.75,1.45,4.23,0.51,-0.43,-0.01,-1.65,4.89,-1.2,0.54,1.88,0.35,-0.01,-0,-0,-0,-0,-0,-,-
Pretax Income,-0.97,-1.08,0.33,5.14,0.16,0.42,-6.25,-3.12,-3.07,-2.18,-1.97,-3.86,-5.4,1.09,-0.48,-2.04,-0.77,-0.79,-0.93,-8.75,-0.3,-0.43,-0.38,-,-
Income Tax,0,0,0,0,0,0,0,-0.01,0.01,0,0.01,0,-0.07,0,0.1,0.02,0,0,0,0,0,0,0,-,-
Net Income,-0.97,-1.08,0.33,5.14,0.16,0.42,-6.25,-3.12,-3.08,-2.18,-1.98,-3.86,-5.33,1.09,-0.58,-2.06,-0.77,-0.79,-0.93,-8.75,-0.3,-0.43,-0.38,-,-
Shares Outstanding (Basic),8,7,6,6,6,6,5,5,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
Shares Outstanding (Diluted),8,7,6,6,6,6,5,5,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,-,-
Shares Change,29.83%,27.25%,19.57%,31.27%,35.15%,46.51%,81.78%,62.69%,52.03%,33.87%,11.05%,11.59%,11.38%,9.11%,0.94%,13.25%,15.02%,16.38%,27.80%,12.90%,11.11%,-,-,-,-
EPS (Basic),-0.13,-0.15,0.05,0.90,0.03,0.08,-1.18,-0.73,-0.70,-0.60,-0.70,-0.70,-1.80,0.30,-0.20,-0.80,-0.30,-0.30,-0.40,-4.00,-0.10,-0.20,-0.20,-,-
EPS (Diluted),-0.13,-0.15,0.05,0.90,0.03,0.08,-1.18,-0.73,-0.70,-0.60,-0.70,-0.70,-1.80,0.30,-0.20,-0.80,-0.30,-0.30,-0.40,-4.00,-0.10,-0.20,-0.20,-,-
Free Cash Flow Per Share,-0.05,0.06,0.09,-0.40,-0.30,-0.42,-1.10,-0.90,-0.15,-0.34,-0.01,0.17,-0.34,-0.82,-1.58,-1.47,-0.33,-0.26,-0.36,-0.16,-0.04,-0.06,-0.10,-,-
Gross Margin,10.50%,13.78%,19.64%,-,12.20%,-39.07%,-506.32%,-,-9.48%,28.47%,30.23%,18.13%,30.75%,19.98%,19.76%,25.50%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-,-
Operating Margin,-76.36%,-70.73%,-61.52%,-,-151.09%,-207.60%,-1260.93%,-,-147.12%,-171.61%,-151.92%,-254.51%,-18.03%,-1.31%,2.04%,-5.48%,-346.30%,-1115.59%,-746.68%,-5488.61%,-197.52%,-363.57%,-586.37%,-,-
Profit Margin,-55.79%,-48.34%,14.21%,-,9.36%,37.70%,-1649.78%,-,-188.03%,-156.84%,-172.68%,-191.74%,-194.03%,18.53%,-11.54%,-84.62%,-649.62%,-1104.78%,-744.14%,-5488.01%,-197.47%,-362.91%,-584.74%,-,-
Free Cash Flow Margin,-22.43%,18.47%,23.03%,-,-106.95%,-210.92%,-1536.25%,-,-40.95%,-91.89%,-3.31%,23.66%,-35.33%,-39.29%,-82.53%,-156.07%,-717.85%,-949.83%,-743.68%,-226.00%,-63.99%,-110.00%,-291.17%,-,-
Effective Tax Rate,-,-,-,0.00%,2.84%,0.00%,-,-,-,-,-,-,-,0.41%,-,-,-,-,-,-,-,-,-,-,-
EBITDA,-0.5,-0.52,0.89,2.61,0.72,0.95,-5.84,-6.47,-1.84,-0.64,-0.77,-1.98,-5.3,1.17,-0.4,-2,-0.94,-0.7,-0.84,-8.58,-0.14,-0.26,-0.22,-,-
EBITDA Margin,-28.75%,-23.07%,38.12%,-,43.59%,84.91%,-1542.57%,-,-112.23%,-46.15%,-66.94%,-98.53%,-193.10%,19.92%,-8.01%,-82.11%,-793.46%,-979.19%,-673.61%,-5379.91%,-88.52%,-222.35%,-341.63%,-,-
Depreciation & Amortization,0.46,0.57,0.55,-2.23,0.55,0.51,0.38,-2.76,1.08,1.31,0.96,1.48,0.08,0.05,0.04,0.01,-0.18,0.09,0.09,0.17,0.17,0.16,0.16,-,-
EBIT,-0.96,-1.08,0.34,4.84,0.17,0.44,-6.23,-3.7,-2.92,-1.95,-1.73,-3.47,-5.38,1.12,-0.44,-2.01,-0.77,-0.79,-0.93,-8.75,-0.3,-0.43,-0.38,-,-
EBIT Margin,-55.36%,-48.29%,14.52%,-,10.46%,39.10%,-1644.05%,-,-178.28%,-140.54%,-150.61%,-172.32%,-196.04%,19.03%,-8.78%,-82.58%,-644.37%,-1104.78%,-744.14%,-5488.01%,-197.47%,-362.91%,-584.74%,-,-
