Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31
Revenue,126.52,128.42,122.61,123.07,133.82,153.74,150.01,149.7,163.16,168.8,110.45,110.91,69.38,89.98,94.62,89.12,80.66,76.42,85.29,86.22,81.39,85.04,82.21,66.95,61.6,61.12,71.51,67.5,56.99,51.53,52.34,-,-
Revenue Growth (YoY),-5.46%,-16.47%,-18.27%,-17.79%,-17.98%,-8.92%,35.82%,34.98%,135.16%,87.61%,16.73%,24.45%,-13.98%,17.74%,10.94%,3.37%,-0.89%,-10.15%,3.74%,28.78%,32.13%,39.15%,14.97%,-0.82%,8.09%,18.60%,36.62%,-,-,-,-,-,-
Gross Profit,126.52,128.42,122.61,123.07,133.82,153.74,150.01,149.7,163.16,168.8,110.45,110.91,69.38,89.98,94.62,89.12,80.66,76.42,85.29,86.22,81.39,85.04,82.21,66.95,61.6,61.12,71.51,67.5,56.99,51.53,52.34,-,-
"Selling, General & Admin",62.05,62.18,65.87,68.59,73.97,73.01,77.77,75.91,77.43,81.24,79.74,66.68,54.2,50.02,51.64,49.01,44.27,43.76,47.02,45.42,44.81,45.2,45.1,39.93,37.98,36.54,41.51,35.04,30.97,29.67,28.96,-,-
Other Operating Expenses,18.39,18.05,15.98,28.41,15.31,17.89,17.24,17.05,17.27,28.62,38.36,13.9,14.36,12.67,11.29,15.11,10.83,9.98,10.2,10.94,11.34,12.35,24.12,9.21,8.44,10.78,14.02,15.56,10.38,12.21,6.62,0,0
Operating Expenses,80.44,80.23,81.85,97,89.27,90.9,95.01,92.96,94.7,109.86,118.09,80.58,68.56,62.69,62.94,64.12,55.1,53.74,57.21,56.36,56.15,57.54,69.22,49.14,46.42,47.32,55.53,50.6,41.35,41.88,35.58,-,-
Operating Income,46.08,48.19,40.76,26.07,44.55,62.84,55.01,56.74,68.46,58.95,-7.64,30.33,0.83,27.29,31.68,25,25.56,22.68,28.08,29.86,25.24,27.5,12.99,17.81,15.18,13.8,15.98,16.91,15.64,9.65,16.76,-,-
Other Expense / Income,-,0.01,-,0.01,-,0.01,-,0.01,-,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pretax Income,46.08,48.19,40.76,26.06,44.55,62.83,55.01,56.73,68.46,58.94,-7.64,30.33,0.83,27.29,31.68,25,25.56,22.68,28.08,29.86,25.24,27.5,12.99,17.81,15.18,13.8,15.98,16.91,15.64,9.65,16.76,-,-
Income Tax,9.7,10.04,8.93,6.72,9.31,14.01,9.72,13.44,15.59,13.34,-2.04,7.46,0.08,5.72,7.72,6.31,5.98,5.64,6.7,7.79,5.48,4.49,4.6,6.57,5.43,4.79,14.77,1.13,1.04,0.46,0.86,-,-
Net Income,36.38,38.14,31.83,19.35,35.24,48.83,45.29,43.29,52.87,45.6,-5.6,22.87,0.75,21.57,23.97,18.69,19.59,17.04,21.38,22.07,19.75,23.02,8.39,11.24,9.75,9.01,1.21,15.78,14.6,9.19,15.91,-,-
Net Income Growth,3.25%,-21.88%,-29.72%,-55.32%,-33.36%,7.07%,-,89.28%,6997.18%,111.39%,-,22.39%,-96.20%,26.60%,12.11%,-15.30%,-0.84%,-25.97%,154.85%,96.33%,102.54%,155.47%,594.95%,-28.75%,-33.19%,-1.97%,-92.41%,-,-,-,-,-,-
Shares Outstanding (Basic),47,47,47,47,48,48,47,47,47,47,32,32,31,31,31,31,31,31,31,31,31,31,30,26,24,19,18,17,17,17,17,17,17
