Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.45,0.22,0.36,0.43,0.13,0,0
Operating Expenses,0.45,0.22,0.36,0.43,0.13,0,0
Operating Income,-0.45,-0.22,-0.36,-0.43,-0.13,0,0
Other Expense / Income,-1.61,-0.61,-0.3,0.01,0.34,-,-
Pretax Income,1.16,0.39,-0.05,-0.43,-0.48,0,0
Net Income,1.16,0.39,-0.05,-0.43,-0.48,0,0
Shares Outstanding (Basic),28,28,28,28,6,5,5
Shares Outstanding (Diluted),28,28,28,28,6,5,5
Shares Change,334.69%,462.50%,462.50%,-,-,-,-
EPS (Basic),0.04,0.01,-,-0.02,-0.08,-,-
EPS (Diluted),0.04,0.01,-,-0.02,-0.08,-,-
Free Cash Flow Per Share,-0.00,-0.00,-0.00,-0.01,-0.17,-,-
EBITDA,1.16,0.39,-0.05,-0.43,-0.48,0,0
EBIT,1.16,0.39,-0.05,-0.43,-0.48,0,0
