Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31
Revenue,"3,049.98","2,971.45","2,665.99","2,446.79","2,448.02","2,525.11","2,384.1","2,112.89","1,852.99","1,793.33","1,810.45","2,106.31","1,232.79","1,592.51","1,641.89","1,495.57","1,402.5","1,120.38","1,065.39",955.4,945.46,"1,246.9","1,065.88",668.98,495.92,368.2,-
Revenue Growth (YoY),24.59%,17.68%,11.82%,15.80%,32.11%,40.81%,31.69%,0.31%,50.31%,12.61%,10.27%,40.84%,-12.10%,42.14%,54.11%,56.54%,48.34%,-10.15%,-0.05%,42.82%,90.65%,238.65%,-,-,-,-,-
Cost of Revenue,516.22,495.02,529.68,497.7,514.33,459.57,455,413.05,464.91,338.88,272.32,249.5,305.16,332.08,306.96,264.01,277.6,226.23,234.65,247.1,296.28,297.82,207.02,173.41,78.41,109.34,-
Gross Profit,"2,533.75","2,476.42","2,136.31","1,949.09","1,933.69","2,065.54","1,929.1","1,699.84","1,388.08","1,454.45","1,538.14","1,856.82",927.63,"1,260.43","1,334.93","1,231.56","1,124.91",894.15,830.74,708.3,649.19,949.09,858.86,495.57,417.51,258.86,-
"Selling, General & Admin",605.09,635.58,422.96,423.12,545.63,510.69,599.32,446.84,366.95,220.7,168.77,187.56,232.93,354,317.82,251.4,309.44,284.99,277.72,222,324.1,370.06,303.6,214.33,216.07,136.99,-
Research & Development,137.52,125.6,115.97,112.4,131.91,104.51,104.65,93.78,106.23,92.99,83.39,87.56,93.08,108.22,101.56,87.72,83.13,82.15,78.09,74.61,164.87,0,0,0,0,0,-
Other Operating Expenses,"1,174.37","1,055.41",940.7,831.53,732.64,720.5,520.45,503.49,319.34,451.74,718.81,"1,125.92",166.56,149.27,147.97,97.59,245.77,36.41,5.59,11.63,46.59,0,0,0,38.3,0,0
Operating Expenses,"1,916.98","1,816.59","1,479.63","1,367.05","1,410.18","1,335.69","1,224.42","1,044.11",792.52,765.42,970.97,"1,401.04",492.57,611.48,567.36,436.71,638.34,403.54,361.4,308.23,535.56,370.06,303.6,214.33,254.37,136.99,-
Operating Income,616.77,659.84,656.69,582.04,523.51,729.85,704.68,655.73,595.56,689.03,567.17,455.77,435.06,648.95,767.57,794.85,486.57,490.61,469.35,400.07,113.63,579.03,555.26,281.25,163.14,121.87,-
Other Expense / Income,-59.69,-51.94,-42.94,-51.25,-45.24,-18.67,-31.78,-40.31,1.25,-32.03,-37.02,-52.79,-33.31,-79.65,-45.79,-49.63,-93.99,-250.88,-295.26,-133.56,694.76,-120.89,-193.25,-209.16,-124.68,-92.96,-
Pretax Income,676.46,711.78,699.63,633.29,568.75,748.52,736.46,696.04,594.32,721.06,604.19,508.56,468.37,728.6,813.36,844.48,580.56,741.48,764.61,533.63,-581.13,699.92,748.5,490.4,287.82,214.83,-
Income Tax,124.99,112.74,118.42,98.63,-87.11,112.18,110.07,105.67,100.38,118.4,147.48,89.17,57.09,130.72,152.85,141.3,-193.62,92.19,158.05,94.59,-74.14,158.55,116.7,73.6,21.78,21.3,-
Net Income,551.48,599.03,581.21,534.66,655.85,636.34,626.38,590.37,493.94,602.67,456.71,419.39,411.28,597.88,660.51,703.18,774.17,649.3,606.56,439.05,-506.99,541.37,631.8,416.8,266.04,193.53,-
