Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-09-30,2021-06-30,2021-03-31
Revenue,4.18,-38.84,2.61,1.85,1.67,1.72,0,1.75
Revenue Growth (YoY),150.16%,-,-,5.86%,-,-,-,-
Cost of Revenue,0.54,"2,084,588.8",0.2,0,0,0,0,0
Gross Profit,3.64,"-2,084,627.64",2.41,1.85,1.67,0,0,0
General & Administrative,1.54,5.86,1.27,1.09,0.97,0.74,0.01,0.55
Other Operating Expenses,3.73,"7,201,532.97",0.98,0,0,0,0,0
Operating Expenses,5.27,"9,592,068.64",1.36,0,0,0,0.01,0
Operating Income,-1.19,-36.26,0.83,0.34,0.5,0,-0.01,0
Interest Income,0,0.47,0.41,0.18,0.07,0.03,0,0.02
Interest Expense,0.83,0.77,0.04,0,0,0,0,0
Other Expense / Income,-,9.72,0.41,0.18,0.07,-0.92,1.73,-0.87
Pretax Income,-2.02,-46.28,1.06,0.34,0.5,0.95,-1.74,0.89
Income Tax,-0.61,0.77,-0.27,0,0,0,0,0
Net Income,-1.41,-47.04,1.06,0.34,0.5,0.95,-1.74,0.89
Net Income Growth,-,-,-,-62.14%,-,-,-,-
Shares Outstanding (Basic),26,19,19,19,19,19,3,19
Shares Outstanding (Diluted),26,19,21,19,19,19,13,19
Shares Change,37.16%,1.46%,56.87%,-,-,-,-,-
EPS (Basic),-0.06,-2.48,0.06,0.02,0.03,0.05,-0.59,0.05
EPS (Diluted),-0.06,-2.48,0.06,0.02,0.03,0.05,-0.59,0.05
EPS Growth,-,-,-,-62.08%,-,-,-,-
Free Cash Flow Per Share,-0.01,0.06,0.04,0.03,-0.03,-0.00,-,-
Gross Margin,87.15%,-,92.51%,100.00%,100.00%,-,-,-
Operating Margin,-28.43%,-,31.63%,18.15%,30.02%,-,-,-
Profit Margin,-33.81%,-,40.47%,18.15%,30.02%,55.10%,-,50.76%
Free Cash Flow Margin,-18.54%,-,40.53%,39.11%,30.04%,-27.54%,-,-
Effective Tax Rate,-,-,-25.26%,-,-,-,-,-
EBITDA,-1.62,-36.07,1.09,0.34,0.5,0.95,-1.74,0.89
EBITDA Margin,-38.79%,-,41.85%,18.21%,30.06%,55.10%,-,50.78%
Depreciation & Amortization,0.75,0.19,0,0,0,0,0,-
EBIT,-2.37,-36.26,1.09,0.34,0.5,-,-,-
EBIT Margin,-56.76%,-,41.78%,18.15%,30.02%,-,-,-
