Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.65,0.61,0.64,0.47,0.21,0.07,0
Other Operating Expenses,0.2,0,0,0,0.14,0,0
Operating Expenses,0.85,0.61,0.64,0.47,0.35,0.07,0
Operating Income,-0.85,-0.61,-0.64,-0.47,-0.35,-0.07,-0
Other Expense / Income,-0.58,-0.2,-0.03,0,0,-0,-
Pretax Income,-0.27,-0.42,-0.61,-0.48,-0.35,-0.06,-0
Income Tax,0.08,0,0,0,0,0,0
Net Income,-0.35,-0.42,-0.61,-0.48,-0.35,-0.06,-0
Shares Outstanding (Basic),1,1,7,7,1,1,1
Shares Outstanding (Diluted),1,1,7,7,1,1,1
Shares Change,34.51%,-,420.41%,-,-,-,-
EPS (Basic),-0.05,-0.06,-0.08,-0.06,-0.08,-0.01,-
EPS (Diluted),-0.05,-0.06,-0.08,-0.06,-0.08,-0.01,-
Free Cash Flow Per Share,-0.23,-0.29,-0.04,-0.04,-0.13,-0.14,-
EBITDA,-0.27,-0.42,-0.61,-0.48,-0.35,-0.06,-0
EBIT,-0.27,-0.42,-0.61,-0.48,-0.35,-0.06,-0
