Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
"Selling, General & Admin",0.24,0.47,0.07,0.3,0.53,1.05,0.22,0.24,0.05,0,0,0
Other Operating Expenses,0.04,0.05,0.07,0.05,0.05,0.05,0.05,0.06,0,0,0,0
Operating Expenses,0.28,0.52,0.14,0.35,0.58,1.1,0.27,0.3,0.05,0,0,0
Operating Income,-0.28,-0.52,-0.14,-0.35,-0.58,-1.1,-0.27,-0.3,-0.05,0,0,0
Other Expense / Income,3.5,-3.39,-7.42,-5.99,-1.97,-4.28,3.52,-7.96,5.75,-,-,-
Pretax Income,-3.79,2.87,7.28,5.64,1.4,3.19,-3.79,7.66,-5.8,0,0,0
Income Tax,0.41,0.32,0.19,0,0,0,0,0,0,0,0,0
Net Income,-4.19,2.54,7.08,5.64,1.4,3.19,-3.79,7.66,-5.8,0,0,0
Net Income Growth,-,-20.18%,-,-26.38%,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),60,64,64,64,64,64,64,64,13,11,11,11
Shares Outstanding (Diluted),-,-,-,-,-,-,-,-,-,10,-,-
Shares Change,-6.17%,-,-,-,371.15%,535.00%,464.44%,464.44%,-,-,-,-
EPS (Basic),-0.06,0.04,0.11,0.09,0.02,0.05,-0.06,0.12,-0.49,-,-,-
EPS (Diluted),-0.06,0.04,0.11,0.09,0.02,0.05,-0.06,0.12,-0.49,-,-,-
EPS Growth,-,-20.00%,-,-25.00%,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,0.00,-,-,-,-,-,-,-,-,-,-,-
Effective Tax Rate,-,11.30%,2.65%,-,-,-,-,-,-,-,-,-
EBITDA,-3.79,2.87,7.28,5.64,1.4,3.19,-3.79,7.66,-5.8,0,0,0
EBIT,-3.79,2.87,7.28,5.64,1.4,3.19,-3.79,7.66,-5.8,0,0,0
