Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
"Selling, General & Admin",-0.25,-0.27,0.23,0.01,-0.01,-0
Operating Expenses,-0.25,-0.27,0.23,0.01,-0.01,-0
Operating Income,0.25,0.27,-0.23,-0.01,0.01,0
Other Expense / Income,-1.01,-0.26,-0.17,-,0.01,0
Pretax Income,1.26,0.52,-0.06,-0.01,-0.01,-0
Income Tax,0.3,0.16,0.03,0,0,0
Net Income,0.96,0.37,-0.09,-0.01,-0.01,-0
Shares Outstanding (Basic),15,22,14,4,4,4
Shares Outstanding (Diluted),15,22,14,4,4,4
Shares Change,311.73%,487.00%,-,-,-,-
EPS (Basic),0.06,0.02,-0.01,-,-,-
EPS (Diluted),0.06,0.02,-0.01,-,-,-
Free Cash Flow Per Share,-0.00,-0.01,-0.07,-0.00,-0.00,-
Effective Tax Rate,24.15%,29.77%,-,-,-,-
EBITDA,1.26,0.52,-0.06,-0.01,-0.01,-
EBIT,1.26,0.52,-0.06,-0.01,-0.01,-0
