Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2018-12-31
Revenue,7.44,7.85,7.93,7.57,8.1,7.14,7.41,7.72,8.62,6.92,7.2,5.95,5.24,3.52,3.84,3.4
Revenue Growth (YoY),-8.07%,10.05%,7.09%,-1.87%,-6.08%,3.20%,2.92%,29.79%,64.50%,96.62%,87.52%,74.75%,-,-,-,-
Gross Profit,7.44,7.85,7.93,7.57,8.1,7.14,7.41,7.72,8.62,6.92,7.2,5.95,5.24,3.52,3.84,3.4
"Selling, General & Admin",4.24,4.35,4.48,4.37,4.16,3.97,4.05,4.05,4.22,3.85,3.99,3.88,6.26,2.63,3.67,2.75
Other Operating Expenses,0.96,1.29,1.01,0.87,0.95,1.4,0.98,0.75,1.67,1.16,0.76,0.69,0.82,0.51,0.46,0.46
Operating Expenses,5.19,5.64,5.49,5.24,5.11,5.38,5.03,4.8,5.89,5.01,4.75,4.58,7.08,3.14,4.12,3.22
Operating Income,2.25,2.21,2.44,2.34,2.99,1.76,2.38,2.92,2.73,1.91,2.45,1.37,-1.84,0.38,-0.28,0.19
Other Expense / Income,-,-,-,-,0.65,-,-,-0.13,-0,-,-,-,-,-,-,-0
Pretax Income,2.25,2.21,2.44,2.34,2.34,1.76,2.38,3.04,2.73,1.91,2.45,1.37,-1.84,0.38,-0.28,0.19
Income Tax,0.53,0.51,0.58,0.55,0.55,0.44,0.58,0.73,0.6,0.47,0.58,0.29,-0.54,0.07,-0.09,0.04
Net Income,1.72,1.7,1.86,1.78,1.79,1.32,1.81,2.32,2.13,1.44,1.87,1.08,-1.3,0.32,-0.2,0.15
Net Income Growth,-3.85%,28.91%,3.10%,-23.08%,-15.99%,-8.34%,-3.48%,114.83%,-,355.06%,-,629.05%,-,-,-,-
Shares Outstanding (Basic),7,7,7,7,7,7,7,7,7,7,7,7,7,7,-,-
Shares Outstanding (Diluted),7,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-
Shares Change,-3.29%,-3.50%,-2.88%,-3.74%,0.48%,0.52%,-0.04%,-0.04%,-,-,-,-,-,-,-,-
EPS (Basic),0.26,0.26,0.28,0.27,0.26,0.20,0.26,0.34,0.31,0.19,0.25,0.16,-0.19,0.04,-0.03,0.02
EPS (Diluted),0.26,0.26,0.27,0.27,0.26,0.20,0.26,0.34,0.31,0.19,0.25,0.16,-0.19,0.04,-0.03,0.02
EPS Growth,0%,30.00%,3.85%,-20.59%,-16.13%,5.26%,4.00%,112.50%,-,375.00%,-,700.00%,-,-,-,-
Free Cash Flow Per Share,0.28,-0.17,0.32,0.25,0.52,-0.23,0.05,0.55,1.23,0.23,0.34,0.00,-0.43,0.12,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,30.22%,28.17%,30.79%,30.84%,36.87%,24.66%,32.13%,37.80%,31.64%,27.56%,33.97%,23.04%,-35.13%,10.83%,-7.37%,5.50%
Profit Margin,23.14%,21.64%,23.46%,23.55%,22.12%,18.47%,24.37%,30.04%,24.73%,20.80%,25.98%,18.15%,-24.77%,8.98%,-5.11%,4.35%
Free Cash Flow Margin,24.87%,-14.13%,26.48%,21.88%,43.58%,-21.79%,4.40%,48.91%,98.33%,23.30%,32.04%,0.20%,-56.53%,22.60%,-,-37.45%
Effective Tax Rate,23.43%,23.19%,23.79%,23.64%,23.40%,25.11%,24.16%,23.83%,21.85%,24.55%,23.52%,21.24%,-,17.06%,-,22.51%
EBITDA,2.43,2.88,2.72,2.54,1.53,1.91,2.55,3.21,2.92,3.07,2.08,1.24,-1.81,0.58,-,0.37
EBITDA Margin,32.67%,36.66%,34.23%,33.51%,18.95%,26.72%,34.47%,41.59%,33.83%,44.34%,28.90%,20.93%,-34.60%,16.41%,-,10.96%
Depreciation & Amortization,0.18,0.67,0.27,0.2,-0.8,0.15,0.17,0.17,0.19,1.16,-0.37,-0.13,0.03,0.2,-,0.18
EBIT,2.25,2.21,2.44,2.34,2.34,1.76,2.38,3.04,2.73,1.91,2.45,1.37,-1.84,0.38,-0.28,0.19
EBIT Margin,30.22%,28.17%,30.79%,30.84%,28.88%,24.66%,32.13%,39.44%,31.65%,27.56%,33.97%,23.04%,-35.13%,10.83%,-7.37%,5.61%
