Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.68,0.15,0.18,0.32,0.56,0.01,0.01
Other Operating Expenses,0.18,0.18,0.18,0.18,0.13,0,0
Operating Expenses,0.86,0.32,0.36,0.5,0.69,0.01,0.01
Operating Income,-0.86,-0.32,-0.36,-0.5,-0.69,-0.01,-0.01
Other Expense / Income,-5.81,-5.15,-1.84,-1.08,-3.06,-,-
Pretax Income,4.95,4.83,1.48,0.58,2.37,-0.01,-0.01
Net Income,4.95,4.83,1.48,0.58,2.37,-0.01,-0.01
Net Income Growth,108.92%,-,-,-,-,-,-
Shares Outstanding (Basic),28,28,28,28,11,6,6
Shares Outstanding (Diluted),28,28,28,28,11,6,6
Shares Change,165.21%,400.00%,400.00%,-,-,-,-
EPS (Basic),0.10,0.14,0.04,0.02,-1.16,-,-
EPS (Diluted),0.10,0.14,0.04,0.02,-1.16,-,-
Free Cash Flow Per Share,0.06,-0.00,-0.01,-0.00,-0.13,-,-
EBITDA,4.95,4.83,1.48,0.58,2.37,-0.01,-0.01
EBIT,4.95,4.83,1.48,0.58,2.37,-0.01,-0.01
