Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-12
"Selling, General & Admin",0.43,0.41,0.24,0.26,0.56,0.17,0.22,0.08,0
Operating Expenses,0.43,0.41,0.24,0.26,0.56,0.17,0.22,0.08,0
Operating Income,-0.43,-0.41,-0.24,-0.26,-0.56,-0.17,-0.22,-0.08,-0
Other Expense / Income,-3.28,-2.16,-2.58,-3.93,-0.16,-4.67,2.04,-3.5,-
Pretax Income,2.85,1.74,2.35,3.67,-0.4,4.5,-2.25,3.42,-0
Income Tax,0.5,0.26,0,0,0,0,0,0,0
Net Income,2.35,1.48,2.35,3.67,-0.4,4.5,-2.25,3.42,-0
Net Income Growth,-,-67.04%,-,7.20%,-,-,-,-,-
Shares Outstanding (Basic),36,36,36,36,35,36,34,10,6
Shares Outstanding (Diluted),36,36,36,36,29,36,36,10,6
Shares Change,22.32%,-,-,262.69%,370.07%,-,-,-,-
EPS (Basic),0.06,0.04,0.07,0.10,-0.03,0.13,-0.07,0.35,-
EPS (Diluted),0.06,0.04,0.07,0.10,0.02,0.13,-0.06,0.35,-
EPS Growth,200.00%,-69.23%,-,-71.43%,-,-,-,-,-
Free Cash Flow Per Share,-0.02,-0.01,-0.01,-0.01,-0.01,-0.00,-0.00,-0.06,-
Effective Tax Rate,17.48%,14.99%,-,-,-,-,-,-,-
EBITDA,2.85,1.74,2.35,3.67,-0.4,4.5,-2.25,3.42,-0
EBIT,2.85,1.74,2.35,3.67,-0.4,4.5,-2.25,3.42,-0
