Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Revenue,56.67,51.11,49.95,48.98,58.36,56.6,55.4,75.74,42.89,35.19,28.4,21.91,18.46,13.96,12.55,9.59,9.49,9.19,6.86,8,-
Revenue Growth (YoY),-2.91%,-9.71%,-9.84%,-35.34%,36.06%,60.86%,95.04%,245.71%,132.41%,151.97%,126.25%,128.55%,94.57%,51.97%,82.89%,19.88%,-,-,-,-,-
Cost of Revenue,28.5,27.38,29.49,31.98,35.23,31.27,27.12,24.68,19.71,16.59,14.16,12.22,11.46,10.01,8.73,8.11,6.67,6.05,38.31,4.88,-
Gross Profit,28.17,23.73,20.45,16.99,23.13,25.33,28.28,51.07,23.18,18.6,14.24,9.69,7,3.96,3.82,1.48,2.82,3.13,-31.44,3.11,-
"Selling, General & Admin",13.33,10.91,12.71,14.5,20.12,16.19,28.81,16.85,11.38,7.57,5.68,5,4.58,3.8,3.88,4.1,4.8,5.13,4.2,4.23,-
Other Operating Expenses,9.08,9,9.65,8.42,9.53,6.97,6.58,5.17,5.19,3.65,3.22,2.99,3.07,2.68,2.53,1.79,1.61,1.87,1.54,1.16,0
Operating Expenses,22.42,19.91,22.36,22.92,29.66,23.15,35.39,22.02,16.57,11.22,8.9,7.99,7.65,6.47,6.41,5.89,6.41,7.01,5.74,5.38,-
Operating Income,5.75,3.81,-1.9,-5.93,-6.53,2.18,-7.12,29.04,6.61,7.38,5.34,1.71,-0.65,-2.52,-2.59,-4.42,-3.59,-3.87,-37.18,-2.27,-
Other Expense / Income,2.07,-1.24,-1.68,0.43,-0.2,-16.93,14.69,0.96,0.55,1.14,-0.53,0.95,0.94,-0.63,-0.08,-0.46,-0.38,-0.5,-0.75,-0.21,-
Pretax Income,3.68,5.06,-0.22,-6.35,-6.33,19.11,-21.8,28.08,6.06,6.23,5.87,0.75,-1.59,-1.89,-2.51,-3.96,-3.21,-3.37,-36.43,-2.06,-
Income Tax,2.38,1.72,0.66,-0.47,-0.95,-1.41,-0.3,7.02,-2.43,1.46,2.92,0.91,-1.03,-0.61,-0.63,-1.08,-1.25,-0.15,-0.42,-0.06,-
Net Income,1.3,3.34,-0.89,-5.88,-5.38,20.52,-21.51,21.06,8.49,4.77,2.95,-0.15,-0.56,-1.28,-1.88,-2.87,-1.96,-3.22,-36.02,-2,-
Preferred Dividends,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Net Income Common,1.24,3.34,-0.89,-5.88,-5.38,20.52,-21.51,21.06,8.49,4.77,2.95,-0.15,-0.56,-1.28,-1.88,-2.87,-1.96,-3.22,-36.02,-2,-
Net Income Growth,-,-83.74%,-,-,-,329.85%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),"2,304","2,299","2,294","2,279","2,268","2,258","2,165","2,128","2,120","2,114","2,118","2,119","1,752","2,103","2,037",733,555,554,472,444,444
Shares Outstanding (Diluted),"2,304","2,425","2,294","2,279","1,851","2,422","2,165","2,210","1,991","2,161","2,142","2,144","1,752","2,103","2,037",733,555,554,472,444,-
Shares Change,24.45%,0.10%,5.93%,3.11%,-7.02%,12.09%,1.10%,3.11%,13.65%,2.77%,5.13%,192.28%,215.82%,279.44%,331.88%,65.26%,24.98%,-,-,-,-
EPS (Basic),0.01,0.01,-,-0.04,0.01,0.14,-0.15,0.15,0.09,0.03,0.01,-,0.06,-0.01,-0.01,-0.06,-0.09,-0.09,-1.14,-,-
EPS (Diluted),0.01,0.01,-,-0.04,0.01,0.12,-0.15,0.15,0.09,0.03,0.01,-,0.06,-0.01,-0.01,-0.06,-0.09,-0.09,-1.14,-,-
EPS Growth,0%,-87.50%,-,-,-83.33%,300.00%,-,-,50.00%,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,49.70%,46.42%,40.95%,34.70%,39.63%,44.76%,51.04%,67.42%,54.04%,52.85%,50.14%,44.25%,37.93%,28.34%,30.42%,15.41%,29.71%,34.11%,-458.09%,38.93%,-
Operating Margin,10.15%,7.46%,-3.81%,-12.10%,-11.18%,3.85%,-12.85%,38.35%,15.42%,20.96%,18.80%,7.78%,-3.53%,-18.02%,-20.63%,-46.06%,-37.87%,-42.14%,-541.70%,-28.39%,-
Profit Margin,2.19%,6.53%,-1.78%,-12.00%,-9.22%,36.25%,-38.82%,27.80%,19.80%,13.57%,10.38%,-0.70%,-3.02%,-9.16%,-14.96%,-29.98%,-20.71%,-35.08%,-524.73%,-25.04%,-
Effective Tax Rate,64.64%,34.02%,-,-,-,-7.38%,-,25.01%,-40.18%,23.42%,49.74%,120.32%,-,-,-,-,-,-,-,-,-
EBIT,3.68,5.06,-0.22,-6.35,-6.33,19.11,-21.8,28.08,6.06,6.23,5.87,0.75,-1.59,-1.89,-2.51,-3.96,-3.21,-3.37,-36.43,-2.06,-
EBIT Margin,6.49%,9.89%,-0.45%,-12.97%,-10.85%,33.76%,-39.36%,37.07%,14.13%,17.72%,20.66%,3.44%,-8.62%,-13.53%,-19.96%,-41.28%,-33.86%,-36.70%,-530.78%,-25.80%,-
