Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-29
"Selling, General & Admin",0.18,0.25,0.24,0.17,0.4,0.19,0.15,0,0
Other Operating Expenses,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0
Operating Expenses,0.23,0.3,0.29,0.22,0.45,0.24,0.2,0,0
Operating Income,-0.23,-0.3,-0.29,-0.22,-0.45,-0.24,-0.2,0,-0
Other Expense / Income,-3.36,-2.93,-1.8,-2.17,-3.18,-2.57,-0.32,-,-
Pretax Income,3.14,2.63,1.51,1.95,2.74,2.34,0.12,0,-0
Income Tax,0.91,0.64,0.29,0.02,0,0,0,0,0
Net Income,2.23,1.99,1.21,1.93,2.74,2.34,0.12,0,-0
Net Income Growth,-18.59%,-14.91%,887.39%,-,-,-,-,-,-
Shares Outstanding (Basic),45,45,45,45,45,23,28,9,9
Shares Outstanding (Diluted),45,45,45,45,45,23,28,9,9
Shares Change,-,94.78%,58.62%,410.00%,410.00%,-,-,-,-
EPS (Basic),0.05,0.05,0.03,0.04,0.06,0.10,-,-,-
EPS (Diluted),0.05,0.05,0.03,0.04,0.06,0.10,-,-,-
EPS Growth,-16.67%,-50.00%,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.00,-0.00,-0.01,-0.00,-0.03,-,-
Effective Tax Rate,28.98%,24.50%,19.40%,0.94%,-,-,-,-,-
EBITDA,3.14,2.63,1.51,1.95,2.74,2.34,0.12,0,-0
EBIT,3.14,2.63,1.51,1.95,2.74,2.34,0.12,0,-0
