Metrics,2022-09-30,2022-06-30,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Revenue,33.78,-,75.16,25.74,29.83,0,0
Revenue Growth (YoY),13.24%,-,-,-,-,-,-
Cost of Revenue,29.51,-,50.42,27.8,7.35,0,0
Gross Profit,4.27,-,24.75,-2.06,22.48,0,0
"Selling, General & Admin",6.99,-,19.45,4.95,2.16,0.09,-0.01
Other Operating Expenses,4.77,0,5.72,5.06,1.99,0,0
Operating Expenses,11.75,-,25.17,10.01,4.15,0.09,-0.01
Operating Income,-7.48,-,-0.42,-12.07,18.33,-0.09,0.01
Interest Expense / Income,-0.66,-,0,-0.76,1.13,0,0
Other Expense / Income,7.49,-,-1.71,2.45,-7.03,4.81,0.01
Pretax Income,-14.32,-,1.29,-13.77,24.22,-4.9,-0.01
Income Tax,-0.24,-,-0.54,0.13,0.34,0,0
Net Income,-14.07,-,1.83,-13.9,23.88,-4.9,-0.01
Shares Outstanding (Basic),111,43,43,43,43,10,6
Shares Outstanding (Diluted),-,-,43,43,43,10,6
Shares Change,156.29%,352.21%,590.98%,-,-,-,-
EPS (Basic),-,-,0.01,-0.14,0.71,-0.51,-
EPS (Diluted),-,-,0.01,-0.14,0.71,-0.51,-
Free Cash Flow Per Share,-0.25,-,0.30,-0.02,0.32,-0.06,-
Gross Margin,12.64%,-,32.93%,-8.00%,75.36%,-,-
Operating Margin,-22.15%,-,-0.56%,-46.90%,61.43%,-,-
Profit Margin,-41.67%,-,2.43%,-54.01%,80.05%,-,-
Free Cash Flow Margin,-82.86%,-,17.07%,-2.88%,46.67%,-,-
Effective Tax Rate,-,-,-41.59%,-,1.41%,-,-
EBITDA,-13.82,-,1.84,-13.05,25.43,-4.9,-0.01
EBITDA Margin,-40.91%,-,2.45%,-50.70%,85.26%,-,-
Depreciation & Amortization,1.16,-,0.55,1.47,0.08,0,0
EBIT,-14.98,-,1.29,-14.53,25.35,-4.9,-0.01
EBIT Margin,-44.34%,-,1.72%,-56.43%,84.99%,-,-
