Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30
Revenue,19.14,22.01,19.79,18.97,17.89,20.74,18.94,17.22,15.69,16.39,15.19,12.72,10.46,11.33,11.51,10.84,10.52,10.74,10.49,10.17,10.14,9.69,10.16,9.44,10.09,8.59,8.45,9.09,8.06,8.64,7.56,7.34,7.02,6.58,6.67,6.76,6.38,6.54,5.84
Revenue Growth (YoY),6.99%,6.14%,4.49%,10.13%,14.04%,26.58%,24.66%,35.36%,49.99%,44.57%,31.94%,17.32%,-0.54%,5.57%,9.78%,6.64%,3.67%,10.83%,3.22%,7.77%,0.53%,12.81%,20.32%,3.79%,25.25%,-0.59%,11.71%,23.94%,14.74%,31.28%,13.43%,8.49%,10.15%,0.64%,14.15%,-,-,-,-
Gross Profit,19.14,22.01,19.79,18.97,17.89,20.74,18.94,17.22,15.69,16.39,15.19,12.72,10.46,11.33,11.51,10.84,10.52,10.74,10.49,10.17,10.14,9.69,10.16,9.44,10.09,8.59,8.45,9.09,8.06,8.64,7.56,7.34,7.02,6.58,6.67,6.76,6.38,6.54,5.84
"Selling, General & Admin",12.48,12.6,13.29,14.82,12.81,12.81,12.21,11.94,10.34,10.36,8.62,8.74,7.89,7.5,7.02,7.03,6.68,6.85,6.93,7.08,7.1,6.86,6.45,6.78,6.49,5.82,6.1,5.8,5.59,5.72,5.07,4.94,5.01,4.75,4.73,4.85,4.76,4.32,4.15
Other Operating Expenses,2.39,2.55,2.09,2.15,2.02,1.87,1.72,1.77,1.75,1.36,1.47,1.54,1.5,1.12,1.41,1.24,1.12,1.32,1.19,1.22,1.18,1.48,1.36,1.16,1.01,1.06,1.36,1.63,1.27,1.96,0.85,1.39,10.75,0.69,0.79,1.12,1.06,1.02,0.81
Operating Expenses,14.87,15.14,15.38,16.96,14.83,14.68,13.93,13.71,12.09,11.72,10.08,10.28,9.38,8.62,8.42,8.27,7.8,8.17,8.12,8.3,8.28,8.34,7.81,7.94,7.5,6.88,7.46,7.44,6.86,7.68,5.92,6.33,15.76,5.44,5.52,5.97,5.82,5.35,4.97
Operating Income,4.27,6.87,4.41,2,3.06,6.06,5,3.51,3.59,4.67,5.11,2.44,1.08,2.71,3.09,2.57,2.72,2.57,2.37,1.87,1.87,1.35,2.35,1.5,2.59,1.71,0.99,1.65,1.2,0.96,1.65,1.01,-8.74,1.14,1.15,0.79,0.55,1.19,0.87
Other Expense / Income,-0.09,-0.2,-0.7,-0.95,-0.3,-0.17,-0.12,-0.15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pretax Income,4.35,7.07,5.11,2.96,3.36,6.24,5.12,3.66,3.59,4.67,5.11,2.44,1.08,2.71,3.09,2.57,2.72,2.57,2.37,1.87,1.87,1.35,2.35,1.5,2.59,1.71,0.99,1.65,1.2,0.96,1.65,1.01,-8.74,1.14,1.15,0.79,0.55,1.19,0.87
Income Tax,0.83,1.01,0.82,0.47,0.55,1.11,0.95,0.66,0.47,0.85,1.44,0.46,0.2,0.5,0.58,0.49,0.51,0.44,0.44,0.35,0.35,1.46,0.58,0.38,0.43,0.52,0.33,0.5,0.3,0.24,0.42,0.25,-1.16,0.26,0.3,0.12,0.09,0.34,0.19
