Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-13
"Selling, General & Admin",1.39,0.63,1.54,0.51,1.52,0.48,0.82,0.09,0
Other Operating Expenses,0,0,0,0,0,0,0,0,0
Operating Expenses,1.39,0.63,1.54,0.51,1.52,0.48,0.82,0.09,0
Operating Income,-1.39,-0.63,-1.54,-0.51,-1.52,-0.48,-0.82,-0.09,-0
Other Expense / Income,-4.23,-3.12,-3.42,-3.88,-2.85,-4.56,-2.9,-0.43,-
Pretax Income,2.84,2.49,1.88,3.37,1.33,4.07,2.08,0.34,-0
Net Income,2.84,2.49,1.88,3.37,1.33,4.07,2.08,0.34,-0
Net Income Growth,113.89%,-38.99%,-9.59%,884.10%,-,-,-,-,-
Shares Outstanding (Basic),40,40,40,40,40,40,39,12,8
Shares Outstanding (Diluted),40,40,40,40,40,40,39,12,8
Shares Change,-0.77%,-,1.11%,220.84%,436.13%,-,-,-,-
EPS (Basic),0.08,0.06,0.05,0.08,0.03,0.10,0.05,0.04,-
EPS (Diluted),0.08,0.06,0.05,0.08,0.03,0.10,0.05,0.04,-
EPS Growth,166.67%,-40.00%,0%,100.00%,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.04,0.00,-
EBITDA,2.84,2.49,1.88,3.37,1.33,4.07,2.08,0.34,-0
EBIT,2.84,2.49,1.88,3.37,1.33,4.07,2.08,0.34,-0
